id	name	icon	grade	link	chronicle
1	Short Sword	weapon_small_sword_i00	None	https://mw2.wiki/item/1-short-sword/eternal	eternal
2	Long Sword	weapon_long_sword_i00	None	https://mw2.wiki/item/2-long-sword/eternal	eternal
3	Broadsword	weapon_broad_sword_i00	None	https://mw2.wiki/item/3-broadsword/eternal	eternal
4	Club	weapon_club_i00	None	https://mw2.wiki/item/4-club/eternal	eternal
5	Mace	weapon_mace_i00	None	https://mw2.wiki/item/5-mace/eternal	eternal
6	Apprentice's Wand	weapon_apprentices_wand_i00	None	https://mw2.wiki/item/6-apprentices-wand/eternal	eternal
7	Apprentice's Rod	weapon_apprentices_rod_i00	None	https://mw2.wiki/item/7-apprentices-rod/eternal	eternal
8	Willow Staff	weapon_willow_staff_i00	None	https://mw2.wiki/item/8-willow-staff/eternal	eternal
9	Cedar Staff	weapon_cedar_staff_i00	None	https://mw2.wiki/item/9-cedar-staff/eternal	eternal
10	Dagger	weapon_dagger_i00	None	https://mw2.wiki/item/10-dagger/eternal	eternal
11	Bone Dagger	weapon_bone_dagger_i00	None	https://mw2.wiki/item/11-bone-dagger/eternal	eternal
12	Knife	weapon_knife_i00	None	https://mw2.wiki/item/12-knife/eternal	eternal
13	Short Bow	weapon_short_bow_i00	None	https://mw2.wiki/item/13-short-bow/eternal	eternal
14	Bow	weapon_bow_i00	None	https://mw2.wiki/item/14-bow/eternal	eternal
15	Short Spear	weapon_short_spear_i00	None	https://mw2.wiki/item/15-short-spear/eternal	eternal
16	Great Spear	weapon_long_spear_i00	None	https://mw2.wiki/item/16-great-spear/eternal	eternal
17	Wooden Arrow	etc_wooden_quiver_i00	None	https://mw2.wiki/item/17-wooden-arrow/eternal	eternal
18	Leather Shield	shield_leather_shield_i00	None	https://mw2.wiki/item/18-leather-shield/eternal	eternal
19	Small Shield	shield_small_shield_i00	None	https://mw2.wiki/item/19-small-shield/eternal	eternal
20	Buckler	shield_buckler_i00	None	https://mw2.wiki/item/20-buckler/eternal	eternal
21	Shirt	armor_t02_u_i00	None	https://mw2.wiki/item/21-shirt/eternal	eternal
22	Leather Shirt	armor_t04_u_i00	None	https://mw2.wiki/item/22-leather-shirt/eternal	eternal
23	Wooden Breastplate	armor_t06_u_i00	None	https://mw2.wiki/item/23-wooden-breastplate/eternal	eternal
24	Bone Breastplate	armor_t32_u_i00	None	https://mw2.wiki/item/24-bone-breastplate/eternal	eternal
25	Piece Bone Breastplate	armor_t33_u_i00	None	https://mw2.wiki/item/25-piece-bone-breastplate/eternal	eternal
26	Bronze Breastplate	armor_t34_u_i00	None	https://mw2.wiki/item/26-bronze-breastplate/eternal	eternal
27	Hard Leather Shirt	armor_t30_u_i00	None	https://mw2.wiki/item/27-hard-leather-shirt/eternal	eternal
28	Pants	armor_t02_l_i00	None	https://mw2.wiki/item/28-pants/eternal	eternal
29	Leather Pants	armor_t04_l_i00	None	https://mw2.wiki/item/29-leather-pants/eternal	eternal
30	Hard Leather Pants	armor_t06_l_i00	None	https://mw2.wiki/item/30-hard-leather-pants/eternal	eternal
31	Bone Gaiters	armor_t32_l_i00	None	https://mw2.wiki/item/31-bone-gaiters/eternal	eternal
32	Piece Bone Gaiters	armor_t33_l_i00	None	https://mw2.wiki/item/32-piece-bone-gaiters/eternal	eternal
33	Hard Leather Gaiters	armor_t30_l_i00	None	https://mw2.wiki/item/33-hard-leather-gaiters/eternal	eternal
34	Bronze Gaiters	armor_t34_l_i00	None	https://mw2.wiki/item/34-bronze-gaiters/eternal	eternal
35	Cloth Shoes	armor_t02_b_i00	None	https://mw2.wiki/item/35-cloth-shoes/eternal	eternal
36	Leather Sandals	armor_t03_b_i00	None	https://mw2.wiki/item/36-leather-sandals/eternal	eternal
37	Leather Shoes	armor_t05_b_i00	None	https://mw2.wiki/item/37-leather-shoes/eternal	eternal
38	Low Boots	armor_t32_b_i00	None	https://mw2.wiki/item/38-low-boots/eternal	eternal
39	Boots	armor_t30_b_i00	None	https://mw2.wiki/item/39-boots/eternal	eternal
40	Leather Boots	armor_t09_b_i00	D	https://mw2.wiki/item/40-leather-boots/eternal	eternal
41	Cloth Cap	armor_cloth_helmet_i00	None	https://mw2.wiki/item/41-cloth-cap/eternal	eternal
42	Leather Cap	armor_leather_helmet_i00	None	https://mw2.wiki/item/42-leather-cap/eternal	eternal
43	Wooden Helmet	armor_leather_helmet_i00	None	https://mw2.wiki/item/43-wooden-helmet/eternal	eternal
44	Leather Helmet	armor_leather_helmet_i00	None	https://mw2.wiki/item/44-leather-helmet/eternal	eternal
45	Bone Helmet	armor_leather_helmet_i00	D	https://mw2.wiki/item/45-bone-helmet/eternal	eternal
46	Bronze Helmet	armor_helmet_i00	D	https://mw2.wiki/item/46-bronze-helmet/eternal	eternal
47	Mithril Helmet	armor_helmet_i00	D	https://mw2.wiki/item/47-mithril-helmet/eternal	eternal
48	Short Gloves	armor_t02_g_i00	None	https://mw2.wiki/item/48-short-gloves/eternal	eternal
49	Gloves	armor_t06_g_i00	None	https://mw2.wiki/item/49-gloves/eternal	eternal
50	Leather Gloves	armor_t32_g_i00	None	https://mw2.wiki/item/50-leather-gloves/eternal	eternal
51	Bracer	armor_t30_g_i00	None	https://mw2.wiki/item/51-bracer/eternal	eternal
52	Vesper Dual Sword	weapon_dual_sword_i00	S84	https://mw2.wiki/item/52-vesper-dual-sword/eternal	eternal
53	(Not In Use)	etc_pi_gift_box_i00	None	https://mw2.wiki/item/53-not-in-use/eternal	eternal
54	(Not In Use)	etc_pi_gift_box_i00	None	https://mw2.wiki/item/54-not-in-use/eternal	eternal
55	Shiny Agathion 7-Day Pack	etc_pi_gift_box_i02	None	https://mw2.wiki/item/55-shiny-agathion-7-day-pack/eternal	eternal
56	Sobbing Agathion 7-Day Pack	etc_pi_gift_box_i02	None	https://mw2.wiki/item/56-sobbing-agathion-7-day-pack/eternal	eternal
57	Adena	etc_adena_i00	None	https://mw2.wiki/item/57-adena/eternal	eternal
58	Mithril Breastplate	armor_t19_u_i00	D	https://mw2.wiki/item/58-mithril-breastplate/eternal	eternal
