race_name	race_icon	race_background	subtype_name	subtype_background	subtype_link	chronicle	server_id
Human	https://wikipedia1.mw2.wiki/images/wiki/races/race-human.png	https://wikipedia1.mw2.wiki/images/wiki/races/human.png	Warrior	https://wikipedia1.mw2.wiki/images/wiki/races/human_f.png	https://wikipedia1.mw2.wiki/race-type/0/0?chronicles=eternal	eternal	1
Human	https://wikipedia1.mw2.wiki/images/wiki/races/race-human.png	https://wikipedia1.mw2.wiki/images/wiki/races/human.png	Mystic	https://wikipedia1.mw2.wiki/images/wiki/races/human_m.png	https://wikipedia1.mw2.wiki/race-type/0/1?chronicles=eternal	eternal	1
Elf	https://wikipedia1.mw2.wiki/images/wiki/races/race-elf.png	https://wikipedia1.mw2.wiki/images/wiki/races/elf.png	Warrior	https://wikipedia1.mw2.wiki/images/wiki/races/elf_f.png	https://wikipedia1.mw2.wiki/race-type/1/0?chronicles=eternal	eternal	1
Elf	https://wikipedia1.mw2.wiki/images/wiki/races/race-elf.png	https://wikipedia1.mw2.wiki/images/wiki/races/elf.png	Mystic	https://wikipedia1.mw2.wiki/images/wiki/races/elf_m.png	https://wikipedia1.mw2.wiki/race-type/1/1?chronicles=eternal	eternal	1
Dark Elf	https://wikipedia1.mw2.wiki/images/wiki/races/race-darkelf.png	https://wikipedia1.mw2.wiki/images/wiki/races/darkelf.png	Warrior	https://wikipedia1.mw2.wiki/images/wiki/races/darkelf_f.png	https://wikipedia1.mw2.wiki/race-type/2/0?chronicles=eternal	eternal	1
Dark Elf	https://wikipedia1.mw2.wiki/images/wiki/races/race-darkelf.png	https://wikipedia1.mw2.wiki/images/wiki/races/darkelf.png	Mystic	https://wikipedia1.mw2.wiki/images/wiki/races/darkelf_m.png	https://wikipedia1.mw2.wiki/race-type/2/1?chronicles=eternal	eternal	1
Orc	https://wikipedia1.mw2.wiki/images/wiki/races/race-orc.png	https://wikipedia1.mw2.wiki/images/wiki/races/orc.png	Warrior	https://wikipedia1.mw2.wiki/images/wiki/races/orc_f.png	https://wikipedia1.mw2.wiki/race-type/3/0?chronicles=eternal	eternal	1
Orc	https://wikipedia1.mw2.wiki/images/wiki/races/race-orc.png	https://wikipedia1.mw2.wiki/images/wiki/races/orc.png	Mystic	https://wikipedia1.mw2.wiki/images/wiki/races/orc_m.png	https://wikipedia1.mw2.wiki/race-type/3/1?chronicles=eternal	eternal	1
Dwarf	https://wikipedia1.mw2.wiki/images/wiki/races/race-dwarf.png	https://wikipedia1.mw2.wiki/images/wiki/races/dwarf.png	Warrior	https://wikipedia1.mw2.wiki/images/wiki/races/dwarf_f.png	https://wikipedia1.mw2.wiki/race-type/4/0?chronicles=eternal	eternal	1
Dwarf	https://wikipedia1.mw2.wiki/images/wiki/races/race-dwarf.png	https://wikipedia1.mw2.wiki/images/wiki/races/dwarf.png	Mystic	https://wikipedia1.mw2.wiki/images/wiki/races/dwarf_m.png	https://wikipedia1.mw2.wiki/race-type/4/1?chronicles=eternal	eternal	1
Kamael	https://wikipedia1.mw2.wiki/images/wiki/races/race-kamael.png	https://wikipedia1.mw2.wiki/images/wiki/races/kamael.png	Male	https://wikipedia1.mw2.wiki/images/wiki/races/kamael_m.png	https://wikipedia1.mw2.wiki/race-type/5/0?chronicles=eternal	eternal	1
Kamael	https://wikipedia1.mw2.wiki/images/wiki/races/race-kamael.png	https://wikipedia1.mw2.wiki/images/wiki/races/kamael.png	Female	https://wikipedia1.mw2.wiki/images/wiki/races/kamael_f.png	https://wikipedia1.mw2.wiki/race-type/5/1?chronicles=eternal	eternal	1
