id	name	grade	description	price_npc	weight	olympiad_usable	restrictions	required_items	craft_level	mp_consumption	result_item_name	result_item_grade	result_item_id	result_item_link	result_quantity	chance_of_success	drop_list	spoil_list
1666	Recipe: Wooden Arrow	NG	["For Dwarves only.", "The recipe for a Wooden Arrow.", "Requires Create Item - Skill Level 1 (Dwarven Fighter Lv. 5).", "The success rate is 100%."]	300	30	Yes	{"private_warehouse": true, "clan_warehouse": true, "transfer_by_account": false, "trade": true, "drop": true, "private_store": true}	[{"id": "1864", "name": "Stem", "icon": "etc_branch_gold_i00", "grade": "NG", "quantity": "4", "link": "https://wiki.mw2.wiki/item/1864-stem/lu4"}, {"id": "1869", "name": "Iron Ore", "icon": "etc_lump_gray_i00", "grade": "NG", "quantity": "2", "link": "https://wiki.mw2.wiki/item/1869-iron-ore/lu4"}]	1	30	Wooden Arrow	NG	17	https://wiki.mw2.wiki/item/17-wooden-arrow/lu4	500	100	[{"npc": {"id": "20004", "name": "Imp", "level": 6}, "amount": "1", "chance": 0.51039981}, {"npc": {"id": "20130", "name": "Orc", "level": 6}, "amount": "1", "chance": 0.51029962}, {"npc": {"id": "20328", "name": "Goblin Lookout", "level": 8}, "amount": "1", "chance": 0.52589299}, {"npc": {"id": "20365", "name": "Mountain Fungus", "level": 8}, "amount": "1", "chance": 0.81809532}, {"npc": {"id": "20386", "name": "Balor Orc Fighter", "level": 10}, "amount": "1", "chance": 0.89576212}, {"npc": {"id": "20471", "name": "Kaboo Orc Fighter", "level": 10}, "amount": "1", "chance": 1.19440146}]	[{"npc": {"id": "20005", "name": "Imp Elder", "level": 7}, "amount": "1", "chance": 2.5951}, {"npc": {"id": "20092", "name": "Monster Eye", "level": 10}, "amount": "1", "chance": 3.925}, {"npc": {"id": "20093", "name": "Orc Fighter", "level": 10}, "amount": "1", "chance": 4.8522}, {"npc": {"id": "20130", "name": "Orc", "level": 6}, "amount": "1", "chance": 2.0731}, {"npc": {"id": "20131", "name": "Orc Grunt", "level": 7}, "amount": "1", "chance": 2.5951}, {"npc": {"id": "20312", "name": "Rakeclaw Imp Hunter", "level": 7}, "amount": "1", "chance": 2.5951}, {"npc": {"id": "20386", "name": "Balor Orc Fighter", "level": 10}, "amount": "1", "chance": 4.8522}, {"npc": {"id": "20427", "name": "Evil Eye Watcher", "level": 10}, "amount": "1", "chance": 3.9642}, {"npc": {"id": "20448", "name": "Utuku Orc Grunt", "level": 7}, "amount": "1", "chance": 2.5951}, {"npc": {"id": "20450", "name": "Relic Werewolf", "level": 9}, "amount": "1", "chance": 3.3076}, {"npc": {"id": "20469", "name": "Kaboo Orc Archer", "level": 8}, "amount": "1", "chance": 3.423}]
1786	Recipe: Broad Sword	NG	["For Dwarves only.", "The recipe for a Broad Sword.", "Requires Create Item - Skill Level 1 (Dwarven Fighter Lv. 5).", "The success rate is 100%."]	125	30	Yes	{"private_warehouse": true, "clan_warehouse": true, "transfer_by_account": false, "trade": true, "drop": true, "private_store": true}	[{"id": "2005", "name": "Broadsword Blade", "icon": "etc_sword_body_i00", "grade": "NG", "quantity": "1", "link": "https://wiki.mw2.wiki/item/2005-broadsword-blade/lu4"}, {"id": "1869", "name": "Iron Ore", "icon": "etc_lump_gray_i00", "grade": "NG", "quantity": "18", "link": "https://wiki.mw2.wiki/item/1869-iron-ore/lu4"}, {"id": "1870", "name": "Coal", "icon": "etc_coal_i00", "grade": "NG", "quantity": "18", "link": "https://wiki.mw2.wiki/item/1870-coal/lu4"}]	1	30	Broadsword	NG	3	https://wiki.mw2.wiki/item/3-broadsword/lu4		100	[{"npc": {"id": "18003", "name": "Bearded Keltir", "level": 1}, "amount": "1", "chance": 0.30579714}, {"npc": {"id": "20120", "name": "Wolf", "level": 4}, "amount": "1", "chance": 0.79829471}, {"npc": {"id": "20121", "name": "Giant Toad", "level": 5}, "amount": "1", "chance": 1.17068508}, {"npc": {"id": "20327", "name": "Goblin Snooper", "level": 5}, "amount": "1", "chance": 1.56087709}, {"npc": {"id": "20475", "name": "Kasha Wolf", "level": 4}, "amount": "1", "chance": 1.06436781}, {"npc": {"id": "20481", "name": "Bearded Keltir", "level": 1}, "amount": "1", "chance": 0.32919774}, {"npc": {"id": "20530", "name": "Young Red Keltir", "level": 1}, "amount": "1", "chance": 0.32918699}, {"npc": {"id": "20532", "name": "Brown Keltir", "level": 2}, "amount": "1", "chance": 0.49399031}, {"npc": {"id": "20535", "name": "Prairie Keltir", "level": 2}, "amount": "1", "chance": 0.37049587}, {"npc": {"id": "20538", "name": "Elder Prairie Keltir", "level": 3}, "amount": "1", "chance": 0.74740344}]	[{"npc": {"id": "20003", "name": "Goblin", "level": 5}, "amount": "1", "chance": 7.2469}, {"npc": {"id": "20121", "name": "Giant Toad", "level": 5}, "amount": "1", "chance": 3.6234}, {"npc": {"id": "20317", "name": "Black Wolf", "level": 4}, "amount": "1", "chance": 2.4708}, {"npc": {"id": "20325", "name": "Goblin Raider", "level": 5}, "amount": "1", "chance": 7.2469}, {"npc": {"id": "20442", "name": "Elder Wolf", "level": 5}, "amount": "1", "chance": 3.5876}, {"npc": {"id": "20475", "name": "Kasha Wolf", "level": 4}, "amount": "1", "chance": 4.9416}, {"npc": {"id": "20481", "name": "Bearded Keltir", "level": 1}, "amount": "1", "chance": 1.0189}, {"npc": {"id": "20529", "name": "Young Brown Keltir", "level": 1}, "amount": "1", "chance": 2.0378}, {"npc": {"id": "20532", "name": "Brown Keltir", "level": 2}, "amount": "1", "chance": 2.2931}, {"npc": {"id": "20534", "name": "Red Keltir", "level": 2}, "amount": "1", "chance": 1.1466}, {"npc": {"id": "20538", "name": "Elder Prairie Keltir", "level": 3}, "amount": "1", "chance": 1.7348}, {"npc": {"id": "20539", "name": "Elder Longtail Keltir", "level": 3}, "amount": "1", "chance": 3.4696}, {"npc": {"id": "20545", "name": "Young Keltir", "level": 1}, "amount": "1", "chance": 2.0378}]
1787	Recipe: Willow Staff	NG	["For Dwarves only.", "The recipe for a Willow Staff.", "Requires Create Item - Skill Level 1 (Dwarven Fighter Lv. 5).", "The success rate is 100%."]	125	30	Yes	{"private_warehouse": true, "clan_warehouse": true, "transfer_by_account": false, "trade": true, "drop": true, "private_store": true}	[{"id": "2006", "name": "Willow Staff Head", "icon": "etc_squares_gray_i00", "grade": "NG", "quantity": "1", "link": "https://wiki.mw2.wiki/item/2006-willow-staff-head/lu4"}, {"id": "1869", "name": "Iron Ore", "icon": "etc_lump_gray_i00", "grade": "NG", "quantity": "12", "link": "https://wiki.mw2.wiki/item/1869-iron-ore/lu4"}, {"id": "1872", "name": "Animal Bone", "icon": "etc_piece_bone_white_i00", "grade": "NG", "quantity": "24", "link": "https://wiki.mw2.wiki/item/1872-animal-bone/lu4"}, {"id": "1864", "name": "Stem", "icon": "etc_branch_gold_i00", "grade": "NG", "quantity": "12", "link": "https://wiki.mw2.wiki/item/1864-stem/lu4"}]	1	30	Willow Staff	NG	8	https://wiki.mw2.wiki/item/8-willow-staff/lu4		100	[{"npc": {"id": "20317", "name": "Black Wolf", "level": 4}, "amount": "1", "chance": 0.53220197}, {"npc": {"id": "20319", "name": "Goblin Grave Robber", "level": 5}, "amount": "1", "chance": 1.17074389}, {"npc": {"id": "20432", "name": "Elpy", "level": 1}, "amount": "1", "chance": 0.18809263}, {"npc": {"id": "20442", "name": "Elder Wolf", "level": 5}, "amount": "1", "chance": 1.15907564}, {"npc": {"id": "20525", "name": "Gray Wolf", "level": 4}, "amount": "1", "chance": 0.79829266}, {"npc": {"id": "20531", "name": "Young Prairie Keltir", "level": 1}, "amount": "1", "chance": 0.43889786}, {"npc": {"id": "20533", "name": "Longtail Keltir", "level": 2}, "amount": "1", "chance": 0.37049397}, {"npc": {"id": "20536", "name": "Elder Brown Keltir", "level": 3}, "amount": "1", "chance": 0.74740344}, {"npc": {"id": "20539", "name": "Elder Longtail Keltir", "level": 3}, "amount": "1", "chance": 0.56049889}]	[{"npc": {"id": "20120", "name": "Wolf", "level": 4}, "amount": "1", "chance": 2.4708}, {"npc": {"id": "20319", "name": "Goblin Grave Robber", "level": 5}, "amount": "1", "chance": 3.6234}, {"npc": {"id": "20325", "name": "Goblin Raider", "level": 5}, "amount": "1", "chance": 7.2469}, {"npc": {"id": "20530", "name": "Young Red Keltir", "level": 1}, "amount": "1", "chance": 1.0189}, {"npc": {"id": "20532", "name": "Brown Keltir", "level": 2}, "amount": "1", "chance": 2.2931}, {"npc": {"id": "20535", "name": "Prairie Keltir", "level": 2}, "amount": "1", "chance": 2.2931}, {"npc": {"id": "20539", "name": "Elder Longtail Keltir", "level": 3}, "amount": "1", "chance": 3.4696}]
1788	Recipe: Bow	NG	["For Dwarves only.", "The recipe for a Bow.", "Requires Create Item - Skill Level 1 (Dwarven Fighter Lv. 5).", "The success rate is 100%."]	125	30	Yes	{"private_warehouse": true, "clan_warehouse": true, "transfer_by_account": false, "trade": true, "drop": true, "private_store": true}	[{"id": "2007", "name": "Bow Shaft", "icon": "etc_branch_gold_i00", "grade": "NG", "quantity": "1", "link": "https://wiki.mw2.wiki/item/2007-bow-shaft/lu4"}, {"id": "1869", "name": "Iron Ore", "icon": "etc_lump_gray_i00", "grade": "NG", "quantity": "20", "link": "https://wiki.mw2.wiki/item/1869-iron-ore/lu4"}, {"id": "1878", "name": "Braided Hemp", "icon": "etc_braided_hemp_i00", "grade": "NG", "quantity": "4", "link": "https://wiki.mw2.wiki/item/1878-braided-hemp/lu4"}, {"id": "1866", "name": "Suede", "icon": "etc_suede_i00", "grade": "NG", "quantity": "4", "link": "https://wiki.mw2.wiki/item/1866-suede/lu4"}]	1	30	Bow	NG	14	https://wiki.mw2.wiki/item/14-bow/lu4		100	[{"npc": {"id": "20003", "name": "Goblin", "level": 5}, "amount": "1", "chance": 1.17074389}, {"npc": {"id": "20325", "name": "Goblin Raider", "level": 5}, "amount": "1", "chance": 0.93658196}, {"npc": {"id": "20456", "name": "Ashen Wolf", "level": 4}, "amount": "1", "chance": 0.79829689}, {"npc": {"id": "20529", "name": "Young Brown Keltir", "level": 1}, "amount": "1", "chance": 0.43889545}, {"npc": {"id": "20534", "name": "Red Keltir", "level": 2}, "amount": "1", "chance": 0.49400849}, {"npc": {"id": "20537", "name": "Elder Red Keltir", "level": 3}, "amount": "1", "chance": 0.56050149}, {"npc": {"id": "20544", "name": "Elder Keltir", "level": 3}, "amount": "1", "chance": 0.7474084}, {"npc": {"id": "20545", "name": "Young Keltir", "level": 1}, "amount": "1", "chance": 0.2633975}]	[{"npc": {"id": "20121", "name": "Giant Toad", "level": 5}, "amount": "1", "chance": 3.6234}, {"npc": {"id": "20456", "name": "Ashen Wolf", "level": 4}, "amount": "1", "chance": 2.4708}, {"npc": {"id": "20481", "name": "Bearded Keltir", "level": 1}, "amount": "1", "chance": 1.0189}, {"npc": {"id": "20531", "name": "Young Prairie Keltir", "level": 1}, "amount": "1", "chance": 1.0189}, {"npc": {"id": "20536", "name": "Elder Brown Keltir", "level": 3}, "amount": "1", "chance": 3.4696}, {"npc": {"id": "20537", "name": "Elder Red Keltir", "level": 3}, "amount": "1", "chance": 1.7348}, {"npc": {"id": "20544", "name": "Elder Keltir", "level": 3}, "amount": "1", "chance": 1.7348}]
1789	Recipe: Cedar Staff	NG	["For Dwarves only.", "The recipe for a Cedar Staff.", "Requires Create Item - Skill Level 1 (Dwarven Fighter Lv. 5).", "The success rate is 100%."]	541	30	Yes	{"private_warehouse": true, "clan_warehouse": true, "transfer_by_account": false, "trade": true, "drop": true, "private_store": true}	[{"id": "2008", "name": "Cedar Staff Head", "icon": "etc_squares_gray_i00", "grade": "NG", "quantity": "2", "link": "https://wiki.mw2.wiki/item/2008-cedar-staff-head/lu4"}, {"id": "1869", "name": "Iron Ore", "icon": "etc_lump_gray_i00", "grade": "NG", "quantity": "55", "link": "https://wiki.mw2.wiki/item/1869-iron-ore/lu4"}, {"id": "1872", "name": "Animal Bone", "icon": "etc_piece_bone_white_i00", "grade": "NG", "quantity": "110", "link": "https://wiki.mw2.wiki/item/1872-animal-bone/lu4"}, {"id": "1864", "name": "Stem", "icon": "etc_branch_gold_i00", "grade": "NG", "quantity": "55", "link": "https://wiki.mw2.wiki/item/1864-stem/lu4"}]	1	45	Cedar Staff	NG	9	https://wiki.mw2.wiki/item/9-cedar-staff/lu4		100	[{"npc": {"id": "20005", "name": "Imp Elder", "level": 7}, "amount": "1", "chance": 0.2656922}, {"npc": {"id": "20095", "name": "Vampire Bat", "level": 10}, "amount": "1", "chance": 0.5412016}, {"npc": {"id": "20311", "name": "Rakeclaw Imp", "level": 6}, "amount": "1", "chance": 0.212292}, {"npc": {"id": "20336", "name": "Green Dryad", "level": 8}, "amount": "1", "chance": 0.34033662}, {"npc": {"id": "20480", "name": "Blade Bat", "level": 10}, "amount": "1", "chance": 0.64939649}]	[{"npc": {"id": "20131", "name": "Orc Grunt", "level": 7}, "amount": "1", "chance": 1.439}, {"npc": {"id": "20448", "name": "Utuku Orc Grunt", "level": 7}, "amount": "1", "chance": 1.439}]
1790	Recipe: Dirk	NG	["For Dwarves only.", "The recipe for a Dirk.", "Requires Create Item - Skill Level 1 (Dwarven Fighter Lv. 5).", "The success rate is 100%."]	541	30	Yes	{"private_warehouse": true, "clan_warehouse": true, "transfer_by_account": false, "trade": true, "drop": true, "private_store": true}	[{"id": "2009", "name": "Dirk Blade", "icon": "etc_sword_body_i00", "grade": "NG", "quantity": "2", "link": "https://wiki.mw2.wiki/item/2009-dirk-blade/lu4"}, {"id": "1869", "name": "Iron Ore", "icon": "etc_lump_gray_i00", "grade": "NG", "quantity": "80", "link": "https://wiki.mw2.wiki/item/1869-iron-ore/lu4"}, {"id": "1870", "name": "Coal", "icon": "etc_coal_i00", "grade": "NG", "quantity": "80", "link": "https://wiki.mw2.wiki/item/1870-coal/lu4"}]	1	45	Dirk	NG	216	https://wiki.mw2.wiki/item/216-dirk/lu4		100	[{"npc": {"id": "20313", "name": "Rakeclaw Imp Chieftain", "level": 10}, "amount": "1", "chance": 0.49678867}, {"npc": {"id": "20385", "name": "Balor Orc Archer", "level": 8}, "amount": "1", "chance": 0.46729075}]	[{"npc": {"id": "20361", "name": "Tunath Orc Marksman", "level": 10}, "amount": "1", "chance": 4.5285}, {"npc": {"id": "20468", "name": "Kaboo Orc", "level": 6}, "amount": "1", "chance": 1.1496}]
1791	Recipe: Brandish	NG	["For Dwarves only.", "The recipe for a Brandish.", "Requires Create Item - Skill Level 1 (Dwarven Fighter Lv. 5).", "The success rate is 100%."]	541	30	Yes	{"private_warehouse": true, "clan_warehouse": true, "transfer_by_account": false, "trade": true, "drop": true, "private_store": true}	[{"id": "2010", "name": "Brandish Blade", "icon": "etc_sword_body_i00", "grade": "NG", "quantity": "2", "link": "https://wiki.mw2.wiki/item/2010-brandish-blade/lu4"}, {"id": "1869", "name": "Iron Ore", "icon": "etc_lump_gray_i00", "grade": "NG", "quantity": "110", "link": "https://wiki.mw2.wiki/item/1869-iron-ore/lu4"}, {"id": "1870", "name": "Coal", "icon": "etc_coal_i00", "grade": "NG", "quantity": "55", "link": "https://wiki.mw2.wiki/item/1870-coal/lu4"}]	1	45	Brandish	NG	1333	https://wiki.mw2.wiki/item/1333-brandish/lu4		100	[{"npc": {"id": "20321", "name": "Goblin Thief", "level": 10}, "amount": "1", "chance": 0.27829211}, {"npc": {"id": "20446", "name": "Utuku Orc", "level": 6}, "amount": "1", "chance": 0.28298883}, {"npc": {"id": "20447", "name": "Utuku Orc Archer", "level": 8}, "amount": "1", "chance": 0.46729075}]	[{"npc": {"id": "20324", "name": "Goblin Brigand Lieutenant", "level": 10}, "amount": "1", "chance": 2.6906}, {"npc": {"id": "20470", "name": "Kaboo Orc Grunt", "level": 7}, "amount": "1", "chance": 1.439}]
1792	Recipe: Short Spear	NG	["For Dwarves only.", "The recipe for a Short Spear.", "Requires Create Item - Skill Level 1 (Dwarven Fighter Lv. 5).", "The success rate is 100%."]	1360	30	Yes	{"private_warehouse": true, "clan_warehouse": true, "transfer_by_account": false, "trade": true, "drop": true, "private_store": true}	[{"id": "2011", "name": "Short Spear Edge", "icon": "etc_sword_body_i00", "grade": "NG", "quantity": "3", "link": "https://wiki.mw2.wiki/item/2011-short-spear-edge/lu4"}, {"id": "1869", "name": "Iron Ore", "icon": "etc_lump_gray_i00", "grade": "NG", "quantity": "220", "link": "https://wiki.mw2.wiki/item/1869-iron-ore/lu4"}, {"id": "1870", "name": "Coal", "icon": "etc_coal_i00", "grade": "NG", "quantity": "110", "link": "https://wiki.mw2.wiki/item/1870-coal/lu4"}, {"id": "1866", "name": "Suede", "icon": "etc_suede_i00", "grade": "NG", "quantity": "55", "link": "https://wiki.mw2.wiki/item/1866-suede/lu4"}]	1	60	Short Spear	NG	15	https://wiki.mw2.wiki/item/15-short-spear/lu4		100	[{"npc": {"id": "20008", "name": "Felim Lizardman", "level": 14}, "amount": "1", "chance": 0.32279111}, {"npc": {"id": "20013", "name": "Dryad", "level": 13}, "amount": "1", "chance": 0.31149554}, {"npc": {"id": "20026", "name": "Ruin Zombie", "level": 15}, "amount": "1", "chance": 0.37709571}, {"npc": {"id": "20097", "name": "Drill Bat", "level": 11}, "amount": "1", "chance": 0.24329113}, {"npc": {"id": "20323", "name": "Goblin Brigand Leader", "level": 14}, "amount": "1", "chance": 0.24687773}, {"npc": {"id": "20349", "name": "Cave Bat", "level": 13}, "amount": "1", "chance": 0.25960046}, {"npc": {"id": "20362", "name": "Tunath Orc Warrior", "level": 12}, "amount": "1", "chance": 0.19308825}, {"npc": {"id": "20473", "name": "Kaboo Orc Fighter Lieutenant", "level": 11}, "amount": "1", "chance": 0.29189287}, {"npc": {"id": "20479", "name": "Kasha Bear", "level": 15}, "amount": "1", "chance": 0.25408701}, {"npc": {"id": "20504", "name": "Dread Soldier", "level": 14}, "amount": "1", "chance": 0.27439335}, {"npc": {"id": "20510", "name": "Puma", "level": 12}, "amount": "1", "chance": 0.29980158}, {"npc": {"id": "34649", "name": "Wasp Worker", "level": 14}, "amount": "1", "chance": 0.24687773}]	[{"npc": {"id": "20010", "name": "Felim Lizardman Scout", "level": 15}, "amount": "1", "chance": 1.3624}, {"npc": {"id": "20011", "name": "Vuku Orc Archer", "level": 15}, "amount": "1", "chance": 1.4033}, {"npc": {"id": "20019", "name": "Dryad Elder", "level": 14}, "amount": "1", "chance": 1.311}, {"npc": {"id": "20021", "name": "Red Bear", "level": 14}, "amount": "1", "chance": 1.311}, {"npc": {"id": "20096", "name": "Orc Lieutenant", "level": 11}, "amount": "1", "chance": 1.1858}, {"npc": {"id": "20100", "name": "Skeleton Archer", "level": 13}, "amount": "1", "chance": 1.1079}, {"npc": {"id": "20143", "name": "Grizzly", "level": 12}, "amount": "1", "chance": 1.2546}, {"npc": {"id": "20316", "name": "Darkwing Bat", "level": 11}, "amount": "1", "chance": 1.1858}, {"npc": {"id": "20323", "name": "Goblin Brigand Leader", "level": 14}, "amount": "1", "chance": 1.3373}, {"npc": {"id": "20330", "name": "Mineshaft Bat", "level": 11}, "amount": "1", "chance": 0.9882}, {"npc": {"id": "20333", "name": "Greystone Golem", "level": 13}, "amount": "1", "chance": 1.4226}, {"npc": {"id": "20340", "name": "Slave Skeleton", "level": 12}, "amount": "1", "chance": 1.0454}, {"npc": {"id": "20362", "name": "Tunath Orc Warrior", "level": 12}, "amount": "1", "chance": 1.0454}, {"npc": {"id": "20379", "name": "Stone Soldier", "level": 14}, "amount": "1", "chance": 1.4739}, {"npc": {"id": "20410", "name": "Scavenger Spider", "level": 15}, "amount": "1", "chance": 1.3897}, {"npc": {"id": "20423", "name": "Akaste Bone Archer", "level": 14}, "amount": "1", "chance": 1.1254}, {"npc": {"id": "20429", "name": "Evil Eye Lookout", "level": 14}, "amount": "1", "chance": 1.0926}, {"npc": {"id": "20460", "name": "Crimson Spider", "level": 15}, "amount": "1", "chance": 1.3897}, {"npc": {"id": "20474", "name": "Kasha Spider", "level": 15}, "amount": "1", "chance": 1.3624}, {"npc": {"id": "20479", "name": "Kasha Bear", "level": 15}, "amount": "1", "chance": 1.3759}]
1793	Recipe: Sword of Reflection	NG	["For Dwarves only.", "The recipe for a Sword of Reflection.", "Requires Create Item - Skill Level 1 (Dwarven Fighter Lv. 5).", "The success rate is 100%."]	1360	30	Yes	{"private_warehouse": true, "clan_warehouse": true, "transfer_by_account": false, "trade": true, "drop": true, "private_store": true}	[{"id": "2012", "name": "Sword of Reflection Blade", "icon": "etc_sword_body_i00", "grade": "NG", "quantity": "3", "link": "https://wiki.mw2.wiki/item/2012-sword-of-reflection-blade/lu4"}, {"id": "1869", "name": "Iron Ore", "icon": "etc_lump_gray_i00", "grade": "NG", "quantity": "200", "link": "https://wiki.mw2.wiki/item/1869-iron-ore/lu4"}, {"id": "1870", "name": "Coal", "icon": "etc_coal_i00", "grade": "NG", "quantity": "200", "link": "https://wiki.mw2.wiki/item/1870-coal/lu4"}]	1	60	Sword of Reflection	NG	120	https://wiki.mw2.wiki/item/120-sword-of-reflection/lu4		100	[{"npc": {"id": "20019", "name": "Dryad Elder", "level": 14}, "amount": "1", "chance": 0.32279436}, {"npc": {"id": "20030", "name": "Langk Lizardman", "level": 15}, "amount": "1", "chance": 0.3353974}, {"npc": {"id": "20098", "name": "Orc Fighter Leader", "level": 12}, "amount": "1", "chance": 0.3171809}, {"npc": {"id": "20153", "name": "Magical Weaver", "level": 11}, "amount": "1", "chance": 0.29189009}, {"npc": {"id": "20364", "name": "Maraku Werewolf Chieftain", "level": 14}, "amount": "1", "chance": 0.32918946}, {"npc": {"id": "20368", "name": "Grave Keeper", "level": 13}, "amount": "1", "chance": 0.29189691}, {"npc": {"id": "20370", "name": "Barbed Bat", "level": 12}, "amount": "1", "chance": 0.3027809}, {"npc": {"id": "20410", "name": "Scavenger Spider", "level": 15}, "amount": "1", "chance": 0.34208631}, {"npc": {"id": "20489", "name": "Quicksilver Beast", "level": 15}, "amount": "1", "chance": 0.28228592}, {"npc": {"id": "20517", "name": "Skeleton Hunter", "level": 12}, "amount": "1", "chance": 0.19309385}, {"npc": {"id": "20521", "name": "Whinstone Golem", "level": 14}, "amount": "1", "chance": 0.27219667}]	[{"npc": {"id": "20008", "name": "Felim Lizardman", "level": 14}, "amount": "1", "chance": 1.311}, {"npc": {"id": "20021", "name": "Red Bear", "level": 14}, "amount": "1", "chance": 1.311}, {"npc": {"id": "20097", "name": "Drill Bat", "level": 11}, "amount": "1", "chance": 0.9882}, {"npc": {"id": "20101", "name": "Crasher", "level": 14}, "amount": "1", "chance": 2.9478}, {"npc": {"id": "20102", "name": "Skeleton Marksman", "level": 14}, "amount": "1", "chance": 1.1254}, {"npc": {"id": "20342", "name": "Werewolf Chieftain", "level": 12}, "amount": "1", "chance": 2.5091}, {"npc": {"id": "20368", "name": "Grave Keeper", "level": 13}, "amount": "1", "chance": 1.1856}, {"npc": {"id": "20373", "name": "Baraq Orc Warrior Leader", "level": 11}, "amount": "1", "chance": 0.9882}, {"npc": {"id": "20423", "name": "Akaste Bone Archer", "level": 14}, "amount": "1", "chance": 1.1254}, {"npc": {"id": "20435", "name": "Opal Beast", "level": 15}, "amount": "1", "chance": 1.1466}, {"npc": {"id": "20479", "name": "Kasha Bear", "level": 15}, "amount": "1", "chance": 1.3759}]
1794	Recipe: Forest Bow	NG	["For Dwarves only.", "The recipe for a Forest Bow.", "Requires Create Item - Skill Level 1 (Dwarven Fighter Lv. 5).", "The success rate is 100%."]	1360	30	Yes	{"private_warehouse": true, "clan_warehouse": true, "transfer_by_account": false, "trade": true, "drop": true, "private_store": true}	[{"id": "2013", "name": "Forest Bow Shaft", "icon": "etc_branch_gold_i00", "grade": "NG", "quantity": "3", "link": "https://wiki.mw2.wiki/item/2013-forest-bow-shaft/lu4"}, {"id": "1869", "name": "Iron Ore", "icon": "etc_lump_gray_i00", "grade": "NG", "quantity": "225", "link": "https://wiki.mw2.wiki/item/1869-iron-ore/lu4"}, {"id": "1878", "name": "Braided Hemp", "icon": "etc_braided_hemp_i00", "grade": "NG", "quantity": "45", "link": "https://wiki.mw2.wiki/item/1878-braided-hemp/lu4"}, {"id": "1866", "name": "Suede", "icon": "etc_suede_i00", "grade": "NG", "quantity": "45", "link": "https://wiki.mw2.wiki/item/1866-suede/lu4"}]	1	60	Forest Bow	NG	272	https://wiki.mw2.wiki/item/272-forest-bow/lu4		100	[{"npc": {"id": "20020", "name": "Marsh Zombie Lord", "level": 14}, "amount": "1", "chance": 0.3627867}, {"npc": {"id": "20099", "name": "Skeleton", "level": 12}, "amount": "1", "chance": 0.12870171}, {"npc": {"id": "20103", "name": "Giant Spider", "level": 15}, "amount": "1", "chance": 0.25659863}, {"npc": {"id": "20316", "name": "Darkwing Bat", "level": 11}, "amount": "1", "chance": 0.21899201}, {"npc": {"id": "20379", "name": "Stone Soldier", "level": 14}, "amount": "1", "chance": 0.36289828}, {"npc": {"id": "20387", "name": "Balor Orc Fighter Leader", "level": 12}, "amount": "1", "chance": 0.30889671}, {"npc": {"id": "20433", "name": "Festering Bat", "level": 13}, "amount": "1", "chance": 0.23369525}, {"npc": {"id": "20435", "name": "Opal Beast", "level": 15}, "amount": "1", "chance": 0.28229776}, {"npc": {"id": "20491", "name": "Crypt Horror", "level": 15}, "amount": "1", "chance": 0.28509423}, {"npc": {"id": "20777", "name": "Hunter Bear", "level": 14}, "amount": "1", "chance": 0.32279647}, {"npc": {"id": "34650", "name": "Dread Wolf", "level": 14}, "amount": "1", "chance": 0.32279647}]	[{"npc": {"id": "20030", "name": "Langk Lizardman", "level": 15}, "amount": "1", "chance": 1.3624}, {"npc": {"id": "20348", "name": "Cave Spider", "level": 15}, "amount": "1", "chance": 1.1354}, {"npc": {"id": "20349", "name": "Cave Bat", "level": 13}, "amount": "1", "chance": 1.0546}, {"npc": {"id": "20370", "name": "Barbed Bat", "level": 12}, "amount": "1", "chance": 1.23}, {"npc": {"id": "20387", "name": "Balor Orc Fighter Leader", "level": 12}, "amount": "1", "chance": 1.2546}, {"npc": {"id": "20455", "name": "Doom Soldier", "level": 14}, "amount": "1", "chance": 1.1144}, {"npc": {"id": "20491", "name": "Crypt Horror", "level": 15}, "amount": "1", "chance": 2.3162}]
