skill_id	skill_name	skill_icon	skill_link	chronicle
1	Triple Slash	skill0001	https://mw2.wiki/skill/1-triple-slash/1/eternal	eternal
2	Confusion	skill0002	https://mw2.wiki/skill/2-confusion/1/eternal	eternal
3	Power Strike	skill0003	https://mw2.wiki/skill/3-power-strike/1/eternal	eternal
4	Dash	skill0004	https://mw2.wiki/skill/4-dash/1/eternal	eternal
5	Double Sonic Slash	skill0005	https://mw2.wiki/skill/5-double-sonic-slash/1/eternal	eternal
6	Sonic Blaster	skill0006	https://mw2.wiki/skill/6-sonic-blaster/1/eternal	eternal
7	Sonic Storm	skill0007	https://mw2.wiki/skill/7-sonic-storm/1/eternal	eternal
8	Sonic Focus	skill0008	https://mw2.wiki/skill/8-sonic-focus/1/eternal	eternal
9	Sonic Buster	skill0009	https://mw2.wiki/skill/9-sonic-buster/1/eternal	eternal
10	Summon Storm Cubic	skill0010	https://mw2.wiki/skill/10-summon-storm-cubic/1/eternal	eternal
11	Trick	skill0011	https://mw2.wiki/skill/11-trick/1/eternal	eternal
12	Switch	skill0012	https://mw2.wiki/skill/12-switch/1/eternal	eternal
13	Summon Siege Golem	skill19109	https://mw2.wiki/skill/13-summon-siege-golem/1/eternal	eternal
15	Charm	skill0015	https://mw2.wiki/skill/15-charm/1/eternal	eternal
16	Mortal Blow	skill0016	https://mw2.wiki/skill/16-mortal-blow/1/eternal	eternal
17	Force Burst	skill0017	https://mw2.wiki/skill/17-force-burst/1/eternal	eternal
18	Aura of Hate	skill0018	https://mw2.wiki/skill/18-aura-of-hate/1/eternal	eternal
19	Double Shot	skill0019	https://mw2.wiki/skill/19-double-shot/1/eternal	eternal
21	Poison Recovery	skill0021	https://mw2.wiki/skill/21-poison-recovery/1/eternal	eternal
22	Summon Vampiric Cubic	skill0022	https://mw2.wiki/skill/22-summon-vampiric-cubic/1/eternal	eternal
24	Burst Shot	skill0024	https://mw2.wiki/skill/24-burst-shot/1/eternal	eternal
25	Summon Mechanic Golem	skill0025	https://mw2.wiki/skill/25-summon-mechanic-golem/1/eternal	eternal
27	Unlock	skill0027	https://mw2.wiki/skill/27-unlock/1/eternal	eternal
28	Aggression	skill0028	https://mw2.wiki/skill/28-aggression/1/eternal	eternal
29	Iron Punch	skill0029	https://mw2.wiki/skill/29-iron-punch/1/eternal	eternal
30	Backstab	skill0030	https://mw2.wiki/skill/30-backstab/1/eternal	eternal
33	Summon Phantom Cubic	skill0033	https://mw2.wiki/skill/33-summon-phantom-cubic/1/eternal	eternal
34	Bandage	skill0034	https://mw2.wiki/skill/34-bandage/1/eternal	eternal
35	Force Storm	skill0035	https://mw2.wiki/skill/35-force-storm/1/eternal	eternal
36	Whirlwind	skill0036	https://mw2.wiki/skill/36-whirlwind/1/eternal	eternal
42	Sweeper	skill0042	https://mw2.wiki/skill/42-sweeper/1/eternal	eternal
44	Remedy	skill0044	https://mw2.wiki/skill/44-remedy/1/eternal	eternal
45	Divine Heal	skill0045	https://mw2.wiki/skill/45-divine-heal/1/eternal	eternal
46	Life Scavenge	skill0046	https://mw2.wiki/skill/46-life-scavenge/1/eternal	eternal
48	Thunder Storm	skill0048	https://mw2.wiki/skill/48-thunder-storm/1/eternal	eternal
49	Divine Strike	skill0049	https://mw2.wiki/skill/49-divine-strike/1/eternal	eternal
50	Focused Force	skill0050	https://mw2.wiki/skill/50-focused-force/1/eternal	eternal
51	Lure	skill0051	https://mw2.wiki/skill/51-lure/1/eternal	eternal
54	Force Blaster	skill0054	https://mw2.wiki/skill/54-force-blaster/1/eternal	eternal
56	Power Shot	skill0056	https://mw2.wiki/skill/56-power-shot/1/eternal	eternal
58	Elemental Heal	skill0058	https://mw2.wiki/skill/58-elemental-heal/1/eternal	eternal
60	Fake Death	skill0060	https://mw2.wiki/skill/60-fake-death/1/eternal	eternal
61	Cure Bleeding	skill0061	https://mw2.wiki/skill/61-cure-bleeding/1/eternal	eternal
65	Horror	skill0065	https://mw2.wiki/skill/65-horror/1/eternal	eternal
67	Summon Life Cubic	skill0067	https://mw2.wiki/skill/67-summon-life-cubic/1/eternal	eternal
69	Sacrifice	skill0069	https://mw2.wiki/skill/69-sacrifice/1/eternal	eternal
70	Drain Health	skill0070	https://mw2.wiki/skill/70-drain-health/1/eternal	eternal
72	Iron Will	skill0072	https://mw2.wiki/skill/72-iron-will/1/eternal	eternal
75	Detect Insect Weakness	skill0075	https://mw2.wiki/skill/75-detect-insect-weakness/1/eternal	eternal
76	Bear Spirit Totem	skill0076	https://mw2.wiki/skill/76-bear-spirit-totem/1/eternal	eternal
77	Attack Aura	skill0077	https://mw2.wiki/skill/77-attack-aura/1/eternal	eternal
78	War Cry	skill0078	https://mw2.wiki/skill/78-war-cry/1/eternal	eternal
80	Detect Beast Weakness	skill0080	https://mw2.wiki/skill/80-detect-beast-weakness/1/eternal	eternal
81	Punch of Doom	skill0081	https://mw2.wiki/skill/81-punch-of-doom/1/eternal	eternal
82	Majesty	skill0082	https://mw2.wiki/skill/82-majesty/1/eternal	eternal
83	Wolf Spirit Totem	skill0083	https://mw2.wiki/skill/83-wolf-spirit-totem/1/eternal	eternal
84	Poison Blade Dance	skill0084	https://mw2.wiki/skill/84-poison-blade-dance/1/eternal	eternal
86	Reflect Damage	skill0086	https://mw2.wiki/skill/86-reflect-damage/1/eternal	eternal
87	Detect Animal Weakness	skill0087	https://mw2.wiki/skill/87-detect-animal-weakness/1/eternal	eternal
88	Detect Dragon Weakness	skill0088	https://mw2.wiki/skill/88-detect-dragon-weakness/1/eternal	eternal
91	Defence Aura	skill0091	https://mw2.wiki/skill/91-defence-aura/1/eternal	eternal
92	Shield Stun	skill0092	https://mw2.wiki/skill/92-shield-stun/1/eternal	eternal
94	Rage	skill0094	https://mw2.wiki/skill/94-rage/1/eternal	eternal
95	Cripple	skill0095	https://mw2.wiki/skill/95-cripple/1/eternal	eternal
96	Bleed	skill0096	https://mw2.wiki/skill/96-bleed/1/eternal	eternal
97	Sanctuary	skill0097	https://mw2.wiki/skill/97-sanctuary/1/eternal	eternal
98	Sword Symphony	skill0098	https://mw2.wiki/skill/98-sword-symphony/1/eternal	eternal
99	Rapid Shot	skill0099	https://mw2.wiki/skill/99-rapid-shot/1/eternal	eternal
100	Stun Attack	skill0100	https://mw2.wiki/skill/100-stun-attack/1/eternal	eternal
101	Stun Shot	skill0101	https://mw2.wiki/skill/101-stun-shot/1/eternal	eternal
102	Entangle	skill0102	https://mw2.wiki/skill/102-entangle/1/eternal	eternal
103	Corpse Plague	skill0103	https://mw2.wiki/skill/103-corpse-plague/1/eternal	eternal
104	Detect Plant Weakness	skill0104	https://mw2.wiki/skill/104-detect-plant-weakness/1/eternal	eternal
105	Freezing Strike	skill0105	https://mw2.wiki/skill/105-freezing-strike/1/eternal	eternal
106	Veil	skill0106	https://mw2.wiki/skill/106-veil/1/eternal	eternal
107	Divine Aura	skill0107	https://mw2.wiki/skill/107-divine-aura/1/eternal	eternal
109	Ogre Spirit Totem	skill0109	https://mw2.wiki/skill/109-ogre-spirit-totem/1/eternal	eternal
110	Ultimate Defence	skill0110_a	https://mw2.wiki/skill/110-ultimate-defence/1/eternal	eternal
111	Ultimate Evasion	skill0111	https://mw2.wiki/skill/111-ultimate-evasion/1/eternal	eternal
112	Deflect Arrow	skill0112	https://mw2.wiki/skill/112-deflect-arrow/1/eternal	eternal
113	Long Shot	skill0113	https://mw2.wiki/skill/113-long-shot/1/eternal	eternal
115	Power Break	skill0115	https://mw2.wiki/skill/115-power-break/1/eternal	eternal
