skill_id	skill_name	skill_icon	skill_link	chronicle
1	Triple Slash	skill0001	https://mw2.wiki/skill/1-triple-slash/1/lu4	lu4
2	Confusion	skill0002	https://mw2.wiki/skill/2-confusion/1/lu4	lu4
3	Power Strike	skill0003	https://mw2.wiki/skill/3-power-strike/1/lu4	lu4
4	Dash	skill0004	https://mw2.wiki/skill/4-dash/1/lu4	lu4
5	Double Sonic Slash	skill0005	https://mw2.wiki/skill/5-double-sonic-slash/1/lu4	lu4
6	Sonic Blaster	skill0006	https://mw2.wiki/skill/6-sonic-blaster/1/lu4	lu4
7	Sonic Storm	skill0007	https://mw2.wiki/skill/7-sonic-storm/1/lu4	lu4
8	Sonic Focus	skill0008	https://mw2.wiki/skill/8-sonic-focus/1/lu4	lu4
9	Sonic Buster	skill0009	https://mw2.wiki/skill/9-sonic-buster/1/lu4	lu4
10	Summon Storm Cubic	skill0010	https://mw2.wiki/skill/10-summon-storm-cubic/1/lu4	lu4
11	Trick	skill0011	https://mw2.wiki/skill/11-trick/1/lu4	lu4
12	Switch	skill0012	https://mw2.wiki/skill/12-switch/1/lu4	lu4
13	Summon Siege Golem	skill19109	https://mw2.wiki/skill/13-summon-siege-golem/1/lu4	lu4
15	Charm	skill0015	https://mw2.wiki/skill/15-charm/1/lu4	lu4
16	Mortal Blow	skill0016	https://mw2.wiki/skill/16-mortal-blow/1/lu4	lu4
17	Force Burst	skill0017	https://mw2.wiki/skill/17-force-burst/1/lu4	lu4
18	Aura of Hate	skill0018	https://mw2.wiki/skill/18-aura-of-hate/1/lu4	lu4
19	Double Shot	skill0019	https://mw2.wiki/skill/19-double-shot/1/lu4	lu4
21	Poison Recovery	skill0021	https://mw2.wiki/skill/21-poison-recovery/1/lu4	lu4
22	Summon Vampiric Cubic	skill0022	https://mw2.wiki/skill/22-summon-vampiric-cubic/1/lu4	lu4
24	Burst Shot	skill0024	https://mw2.wiki/skill/24-burst-shot/1/lu4	lu4
25	Summon Mechanic Golem	skill0025	https://mw2.wiki/skill/25-summon-mechanic-golem/1/lu4	lu4
27	Unlock	skill0027	https://mw2.wiki/skill/27-unlock/1/lu4	lu4
28	Aggression	skill0028	https://mw2.wiki/skill/28-aggression/1/lu4	lu4
29	Iron Punch	skill0029	https://mw2.wiki/skill/29-iron-punch/1/lu4	lu4
30	Backstab	skill0030	https://mw2.wiki/skill/30-backstab/1/lu4	lu4
33	Summon Phantom Cubic	skill0033	https://mw2.wiki/skill/33-summon-phantom-cubic/1/lu4	lu4
34	Bandage	skill0034	https://mw2.wiki/skill/34-bandage/1/lu4	lu4
35	Force Storm	skill0035	https://mw2.wiki/skill/35-force-storm/1/lu4	lu4
36	Whirlwind	skill0036	https://mw2.wiki/skill/36-whirlwind/1/lu4	lu4
42	Sweeper	skill0042	https://mw2.wiki/skill/42-sweeper/1/lu4	lu4
44	Remedy	skill0044	https://mw2.wiki/skill/44-remedy/1/lu4	lu4
45	Divine Heal	skill0045	https://mw2.wiki/skill/45-divine-heal/1/lu4	lu4
46	Life Scavenge	skill0046	https://mw2.wiki/skill/46-life-scavenge/1/lu4	lu4
48	Thunder Storm	skill0048	https://mw2.wiki/skill/48-thunder-storm/1/lu4	lu4
49	Divine Strike	skill0049	https://mw2.wiki/skill/49-divine-strike/1/lu4	lu4
50	Focused Force	skill0050	https://mw2.wiki/skill/50-focused-force/1/lu4	lu4
51	Lure	skill0051	https://mw2.wiki/skill/51-lure/1/lu4	lu4
54	Force Blaster	skill0054	https://mw2.wiki/skill/54-force-blaster/1/lu4	lu4
56	Power Shot	skill0056	https://mw2.wiki/skill/56-power-shot/1/lu4	lu4
58	Elemental Heal	skill0058	https://mw2.wiki/skill/58-elemental-heal/1/lu4	lu4
60	Fake Death	skill0060	https://mw2.wiki/skill/60-fake-death/1/lu4	lu4
61	Cure Bleeding	skill0061	https://mw2.wiki/skill/61-cure-bleeding/1/lu4	lu4
65	Horror	skill0065	https://mw2.wiki/skill/65-horror/1/lu4	lu4
67	Summon Life Cubic	skill0067	https://mw2.wiki/skill/67-summon-life-cubic/1/lu4	lu4
69	Sacrifice	skill0069	https://mw2.wiki/skill/69-sacrifice/1/lu4	lu4
70	Drain Health	skill0070	https://mw2.wiki/skill/70-drain-health/1/lu4	lu4
72	Iron Will	skill0072	https://mw2.wiki/skill/72-iron-will/1/lu4	lu4
