npc_id	chronicle	name	url	title	icon_url	level	hp	mp	p_atk	m_atk	p_def	m_def	accuracy	evasion	exp	sp	attack_attribute	defence_attribute	def_fire	def_water	def_wind	def_earth	def_holy	def_unholy	drops	spoils	skills	map_image	spawn_points	respawn_time
27262.0	lu4	Death Lord Hallate	https://wiki.mw2.wiki/npc/27262-death-lord-hallate/lu4	Death Lord HallateQuest Monster	https://wiki.mw2.wiki/icon64/skill4290.png	81	42 308	1 935	1 914	1 245	701	490	128	118	0	0	No Attack Attribute	Fire 20Water 20Wind 20Earth 20Holy 20Unholy 53	20	20	20	20	20	53	[]	[]	[{"skill_name": "Undead", "skill_url": "https://wiki.mw2.wiki/skill/4416-undead/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4290.png"}, {"skill_name": "HP Increase (9x)", "skill_url": "https://wiki.mw2.wiki/skill/4408-hp-increase-9x/17/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4310.png"}, {"skill_name": "MP Increase (1x)", "skill_url": "https://wiki.mw2.wiki/skill/4409-mp-increase-1x/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4410-average-p-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4411-average-m-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4412-average-p-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4413-average-m-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Heavy Armor Type", "skill_url": "https://wiki.mw2.wiki/skill/4414-heavy-armor-type/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4312.png"}, {"skill_name": "One-handed Sword", "skill_url": "https://wiki.mw2.wiki/skill/4415-one-handed-sword/3/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}]		[]	nan
27263.0	lu4	Death Lord Hallate	https://wiki.mw2.wiki/npc/27263-death-lord-hallate/lu4	Death Lord HallateQuest Monster	https://wiki.mw2.wiki/icon64/skill4290.png	81	42 308	1 935	1 914	1 245	701	490	128	118	0	0	No Attack Attribute	Fire 20Water 20Wind 20Earth 20Holy 20Unholy 53	20	20	20	20	20	53	[]	[]	[{"skill_name": "Undead", "skill_url": "https://wiki.mw2.wiki/skill/4416-undead/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4290.png"}, {"skill_name": "HP Increase (9x)", "skill_url": "https://wiki.mw2.wiki/skill/4408-hp-increase-9x/17/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4310.png"}, {"skill_name": "MP Increase (1x)", "skill_url": "https://wiki.mw2.wiki/skill/4409-mp-increase-1x/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4410-average-p-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4411-average-m-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4412-average-p-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4413-average-m-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Heavy Armor Type", "skill_url": "https://wiki.mw2.wiki/skill/4414-heavy-armor-type/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4312.png"}, {"skill_name": "One-handed Sword", "skill_url": "https://wiki.mw2.wiki/skill/4415-one-handed-sword/3/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}]		[]	nan
27264.0	lu4	Death Lord Hallate	https://wiki.mw2.wiki/npc/27264-death-lord-hallate/lu4	Death Lord HallateQuest Monster	https://wiki.mw2.wiki/icon64/skill4290.png	81	42 308	1 935	1 914	1 245	701	490	128	118	0	0	No Attack Attribute	Fire 20Water 20Wind 20Earth 20Holy 20Unholy 53	20	20	20	20	20	53	[]	[]	[{"skill_name": "Undead", "skill_url": "https://wiki.mw2.wiki/skill/4416-undead/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4290.png"}, {"skill_name": "HP Increase (9x)", "skill_url": "https://wiki.mw2.wiki/skill/4408-hp-increase-9x/17/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4310.png"}, {"skill_name": "MP Increase (1x)", "skill_url": "https://wiki.mw2.wiki/skill/4409-mp-increase-1x/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4410-average-p-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4411-average-m-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4412-average-p-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4413-average-m-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Heavy Armor Type", "skill_url": "https://wiki.mw2.wiki/skill/4414-heavy-armor-type/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4312.png"}, {"skill_name": "One-handed Sword", "skill_url": "https://wiki.mw2.wiki/skill/4415-one-handed-sword/3/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}]		[]	nan
27265.0	lu4	Lich King Icarus	https://wiki.mw2.wiki/npc/27265-lich-king-icarus/lu4	Lich King IcarusQuest Monster	https://wiki.mw2.wiki/icon64/skill4298.png	81	42 308	1 935	1 914	1 245	518	490	128	138	0	0	No Attack Attribute	Fire 20Water 20Wind 20Earth 20Holy -5Unholy 53	20	20	20	20	5	53	[]	[]	[{"skill_name": "Demons", "skill_url": "https://wiki.mw2.wiki/skill/4416-demons/9/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4298.png"}, {"skill_name": "HP Increase (9x)", "skill_url": "https://wiki.mw2.wiki/skill/4408-hp-increase-9x/17/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4310.png"}, {"skill_name": "MP Increase (1x)", "skill_url": "https://wiki.mw2.wiki/skill/4409-mp-increase-1x/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4410-average-p-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4411-average-m-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4412-average-p-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4413-average-m-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Light Armor Type", "skill_url": "https://wiki.mw2.wiki/skill/4414-light-armor-type/3/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4313.png"}, {"skill_name": "One-handed Sword", "skill_url": "https://wiki.mw2.wiki/skill/4415-one-handed-sword/3/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}]		[]	nan
14277.0	lu4	Feline Queen	https://wiki.mw2.wiki/npc/14277-feline-queen/lu4	Feline Queen	https://wiki.mw2.wiki/icon64/skill4296.png	81	4 609	2 187	1 864	1 183	594	550	128	128	0	0	No Attack Attribute	Fire 20Water 20Wind 53Earth 20Holy 20Unholy 20	20	20	53	20	20	20	[]	[]	[{"skill_name": "Spirits", "skill_url": "https://wiki.mw2.wiki/skill/4416-spirits/7/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4296.png"}, {"skill_name": "MP Increase (1x)", "skill_url": "https://wiki.mw2.wiki/skill/4409-mp-increase-1x/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4410-average-p-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4411-average-m-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4412-average-p-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4413-average-m-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Standard Type", "skill_url": "https://wiki.mw2.wiki/skill/4414-standard-type/2/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "One-handed Sword", "skill_url": "https://wiki.mw2.wiki/skill/4415-one-handed-sword/3/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Summoned Monster Magic Protection", "skill_url": "https://wiki.mw2.wiki/skill/4121-summoned-monster-magic-protection/9/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}]		[]	nan
14278.0	lu4	Feline Queen	https://wiki.mw2.wiki/npc/14278-feline-queen/lu4	Feline Queen	https://wiki.mw2.wiki/icon64/skill4296.png	81	4 623	2 198	1 873	1 189	596	552	128	128	0	0	No Attack Attribute	Fire 20Water 20Wind 53Earth 20Holy 20Unholy 20	20	20	53	20	20	20	[]	[]	[{"skill_name": "Spirits", "skill_url": "https://wiki.mw2.wiki/skill/4416-spirits/7/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4296.png"}, {"skill_name": "MP Increase (1x)", "skill_url": "https://wiki.mw2.wiki/skill/4409-mp-increase-1x/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4410-average-p-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4411-average-m-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4412-average-p-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4413-average-m-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Standard Type", "skill_url": "https://wiki.mw2.wiki/skill/4414-standard-type/2/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "One-handed Sword", "skill_url": "https://wiki.mw2.wiki/skill/4415-one-handed-sword/3/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Summoned Monster Magic Protection", "skill_url": "https://wiki.mw2.wiki/skill/4121-summoned-monster-magic-protection/9/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}]		[]	nan
14279.0	lu4	Feline Queen	https://wiki.mw2.wiki/npc/14279-feline-queen/lu4	Feline Queen	https://wiki.mw2.wiki/icon64/skill4296.png	81	4 638	2 209	1 883	1 195	598	554	128	128	0	0	No Attack Attribute	Fire 20Water 20Wind 53Earth 20Holy 20Unholy 20	20	20	53	20	20	20	[]	[]	[{"skill_name": "Spirits", "skill_url": "https://wiki.mw2.wiki/skill/4416-spirits/7/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4296.png"}, {"skill_name": "MP Increase (1x)", "skill_url": "https://wiki.mw2.wiki/skill/4409-mp-increase-1x/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4410-average-p-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4411-average-m-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4412-average-p-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4413-average-m-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Standard Type", "skill_url": "https://wiki.mw2.wiki/skill/4414-standard-type/2/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "One-handed Sword", "skill_url": "https://wiki.mw2.wiki/skill/4415-one-handed-sword/3/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Summoned Monster Magic Protection", "skill_url": "https://wiki.mw2.wiki/skill/4121-summoned-monster-magic-protection/9/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}]		[]	nan
14020.0	lu4	Reanimated Man	https://wiki.mw2.wiki/npc/14020-reanimated-man/lu4	Reanimated Man	https://wiki.mw2.wiki/icon64/skill4290.png	81	4 609	2 187	2 236	1 183	594	550	128	128	0	0	No Attack Attribute	Fire 20Water 20Wind 53Earth 20Holy 20Unholy 20	20	20	53	20	20	20	[]	[]	[{"skill_name": "Undead", "skill_url": "https://wiki.mw2.wiki/skill/4416-undead/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4290.png"}, {"skill_name": "MP Increase (1x)", "skill_url": "https://wiki.mw2.wiki/skill/4409-mp-increase-1x/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Slightly Strong P. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4410-slightly-strong-p-atk/13/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0141.png"}, {"skill_name": "Average M. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4411-average-m-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4412-average-p-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4413-average-m-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Standard Type", "skill_url": "https://wiki.mw2.wiki/skill/4414-standard-type/2/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "One-handed Sword", "skill_url": "https://wiki.mw2.wiki/skill/4415-one-handed-sword/3/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Summoned Monster Magic Protection", "skill_url": "https://wiki.mw2.wiki/skill/4121-summoned-monster-magic-protection/7/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Summon PVP Penalty", "skill_url": "https://wiki.mw2.wiki/skill/5038-summon-pvp-penalty/15/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}]		[]	nan
14280.0	lu4	Feline Queen	https://wiki.mw2.wiki/npc/14280-feline-queen/lu4	Feline Queen	https://wiki.mw2.wiki/icon64/skill4296.png	81	4 652	2 220	1 892	1 201	600	555	128	128	0	0	No Attack Attribute	Fire 20Water 20Wind 53Earth 20Holy 20Unholy 20	20	20	53	20	20	20	[]	[]	[{"skill_name": "Spirits", "skill_url": "https://wiki.mw2.wiki/skill/4416-spirits/7/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4296.png"}, {"skill_name": "MP Increase (1x)", "skill_url": "https://wiki.mw2.wiki/skill/4409-mp-increase-1x/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4410-average-p-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4411-average-m-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4412-average-p-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4413-average-m-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Standard Type", "skill_url": "https://wiki.mw2.wiki/skill/4414-standard-type/2/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "One-handed Sword", "skill_url": "https://wiki.mw2.wiki/skill/4415-one-handed-sword/3/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Summoned Monster Magic Protection", "skill_url": "https://wiki.mw2.wiki/skill/4121-summoned-monster-magic-protection/9/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}]		[]	nan
27273.0	lu4	Assassin Pezel	https://wiki.mw2.wiki/npc/27273-assassin-pezel/lu4	Assassin PezelQuest Monster	https://wiki.mw2.wiki/icon64/skill4290.png	81	42 308	1 935	1 665	1 245	701	490	128	118	0	0	No Attack Attribute	Fire 20Water 20Wind 20Earth 20Holy 20Unholy 53	20	20	20	20	20	53	[]	[]	[{"skill_name": "Undead", "skill_url": "https://wiki.mw2.wiki/skill/4416-undead/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4290.png"}, {"skill_name": "HP Increase (9x)", "skill_url": "https://wiki.mw2.wiki/skill/4408-hp-increase-9x/17/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4310.png"}, {"skill_name": "MP Increase (1x)", "skill_url": "https://wiki.mw2.wiki/skill/4409-mp-increase-1x/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4410-average-p-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Atk.", "skill_url": "https://wiki.mw2.wiki/skill/4411-average-m-atk/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average P. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4412-average-p-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Average M. Def.", "skill_url": "https://wiki.mw2.wiki/skill/4413-average-m-def/11/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}, {"skill_name": "Heavy Armor Type", "skill_url": "https://wiki.mw2.wiki/skill/4414-heavy-armor-type/1/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill4312.png"}, {"skill_name": "Dagger", "skill_url": "https://wiki.mw2.wiki/skill/4415-dagger/7/lu4", "skill_icon": "https://wiki.mw2.wiki/icon64/skill0000.png"}]		[]	nan
