id	name	description	start_npc_id	start_npc_name	start_npc_additional	start_npc_icon	location	level_min	level_max	rewards	steps	chronicle	link
1	Letters of Love	Magister Baulro admits that he deceived Darin about the potion in order to bolster his courage. He gives you a medicine bottle filled with tap water. Take it to Darin in the village square.	30048	Darin		skill4416_human	[{"top": 3057.7118644068, "left": 1208.9604519774}]	2	5	[{"name": "Necklace of KnowledgeNG", "icon": "accessary_necklace_of_knowledge_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Darin of Talking Island Village has fallen in love with Gatekeeper Roxxy. He is too shy to express his feelings and asks you to deliver his love letter to her.", "npc": {"id": "1", "name": "Darin", "additional": null, "icon": "skill4416_human"}, "item": null}, {"number": 2, "title": "Delivery of Love Letters", "description": "Darin of Talking Island Village has fallen in love with Gatekeeper Roxxy. He is too shy to express his feelings and asks you to deliver his love letter to her.", "npc": null, "item": null}, {"number": 3, "title": "Roxxy's Kerchief", "description": "Roxxy reads Darin's letter and tells you that she admires him as well. She asks you to deliver her kerchief to him. Take Roxxy's kerchief to Darin in the village square.", "npc": null, "item": null}, {"number": 4, "title": "Baulro's Magic Potion", "description": "Darin is overjoyed to learn that Roxxy returns his admiration, and says he wants to ask her for a date. He asks you to go and get a love potion promised to him by Magister Baulro at the temple.", "npc": null, "item": null}, {"number": 5, "title": "Water that Brings Out Courage", "description": "Magister Baulro admits that he deceived Darin about the potion in order to bolster his courage. He gives you a medicine bottle filled with tap water. Take it to Darin in the village square.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/1-letters-of-love/lu4
2	What Women Want	Magister Greenis informs you that she loves another. Take Greenis' letter of refusal to Arujian.	30223	Arujien		skill4416_elf	[{"top": 1963.4858757062, "left": 1928.813559322}]	2	5	[{"name": "Question MarkNG", "icon": "etc_question_mark_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Arujien confesses to you that he has pined for Magister Greenis for a long time. He asks you to find out if Greenis returns his affection. Meet with her younger sister, Gatekeeper Mirabel, and show her Arujien's letter.", "npc": {"id": "2", "name": "Arujien", "additional": null, "icon": "skill4416_elf"}, "item": null}, {"number": 2, "title": "Arujien's Letter", "description": "Arujien confesses to you that he has pined for Magister Greenis for a long time. He asks you to find out if Greenis returns his affection. Meet with her younger sister, Gatekeeper Mirabel, and show her Arujien's letter.", "npc": null, "item": null}, {"number": 3, "title": "Uncle Herbiel", "description": "Gatekeeper Mirabel says that she doesn't get involved in her sister's affairs. She suggests that you ask Trader Herbiel. You will find him in a magic shop. Show him Arujien's Letter.", "npc": null, "item": null}, {"number": 4, "title": "Uncle's Advice", "description": "Trader Herbiel thinks that Magister Greenis likes Arujien. Go back to Arujien and give him the good news.", "npc": null, "item": null}, {"number": 5, "title": "Feelings that Have Turned into a Poem", "description": "Arujien says that he's written a book of poetry for Greenis. Take Arujien's poetry book to Magister Greenis.", "npc": null, "item": null}, {"number": 6, "title": "Letter of Refusal", "description": "Magister Greenis informs you that she loves another. Take Greenis' letter of refusal to Arujian.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/2-what-women-want/lu4
3	Will the Seal be Broken?	You have collected all the ingredients required for a spell. Return to Hierarch Talloth.	30141	Talloth	Tetrarch	skill4416_darkelf	[{"top": 1765.8192090395, "left": 1748.2146892655}]	16	26	[{"name": "Random RewardNG", "icon": "etc_quest_random_reward_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Dark Elven Tetrarch Talloth is continuing in the studies of the dark arts in order to break the seal that binds Mitraell, the leader of the Dark Elves. He asks that you to go to the school of the Dark Arts and bring him an Omen Beast's eye, a Taint Stone and Succubus Blood which are all needed to break the Seal. This being the first stage among three stages that binds the great leader. Monsters to be hunted - Omen Beast, Tainted Zombies, Stink Zombies, Lesser Succubi, Lesser Succubus Turen and Lesser Succubus TilfosSuccubus BloodNGx30", "npc": {"id": "3", "name": "Talloth", "additional": "Tetrarch", "icon": "skill4416_darkelf"}, "item": {"id": "1083", "name": "Succubus Blood", "icon": "etc_lesser_potion_red_i00", "grade": "NG"}}, {"number": 2, "title": "Preparation for a Ritual", "description": "Dark Elven Tetrarch Talloth is continuing in the studies of the dark arts in order to break the seal that binds Mitraell, the leader of the Dark Elves. He asks that you to go to the school of the Dark Arts and bring him an Omen Beast's eye, a Taint Stone and Succubus Blood which are all needed to break the Seal. This being the first stage among three stages that binds the great leader. Monsters to be hunted - Omen Beast, Tainted Zombies, Stink Zombies, Lesser Succubi, Lesser Succubus Turen and Lesser Succubus TilfosSuccubus BloodNGx30", "npc": null, "item": {"id": "1083", "name": "Succubus Blood", "icon": "etc_lesser_potion_red_i00", "grade": "NG"}}, {"number": 3, "title": "Return to Tetrarch Talloth", "description": "You have collected all the ingredients required for a spell. Return to Hierarch Talloth.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/3-will-the-seal-be-broken/lu4
4	Long live the Pa'agrio Lord!	You have collected all of the tributes for Pa'agrio Lord Kakai. Take them to Centurion Nakusin.	30578	Nakusin	Centurion	skill4416_orc	[{"top": 1043.1129943503, "left": 1418.4293785311}]	2	5	[{"name": "ClubNG", "icon": "weapon_club_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "You must meet with the following tribal representatives: Tataru Zu Hestui of the dignified Hestui tribe; Chief Varkees of the cold-blooded Atuba tribe; Warehouse Keeper Grookin of the formidable Neruga tribe; Gantaki Zu Urutu of the strong-willed Urutu tribe; Trader Kunai of the tactical Dudamara tribe; Trader Uska of the ruthless Gandi tribe.Deep Sea OrbNG", "npc": {"id": "4", "name": "Nakusin", "additional": "Centurion", "icon": "skill4416_orc"}, "item": {"id": "1546", "name": "Deep Sea Orb", "icon": "etc_crystal_ball_silver_i00", "grade": "NG"}}, {"number": 2, "title": "Gifts from the Six Tribes", "description": "You must meet with the following tribal representatives: Tataru Zu Hestui of the dignified Hestui tribe; Chief Varkees of the cold-blooded Atuba tribe; Warehouse Keeper Grookin of the formidable Neruga tribe; Gantaki Zu Urutu of the strong-willed Urutu tribe; Trader Kunai of the tactical Dudamara tribe; Trader Uska of the ruthless Gandi tribe.Deep Sea OrbNG", "npc": null, "item": {"id": "1546", "name": "Deep Sea Orb", "icon": "etc_crystal_ball_silver_i00", "grade": "NG"}}, {"number": 3, "title": "Return to Nakusin", "description": "You have collected all of the tributes for Pa'agrio Lord Kakai. Take them to Centurion Nakusin.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/4-long-live-the-paagrio-lord/lu4
5	Miner's Favor	You have all of the items Bolter requested. Take them to him.	30554	Bolter	Miner	skill4416_dwarf	[{"top": 698.06779661017, "left": 2322.4745762712}]	2	5	[{"name": "AdenaNG", "icon": "etc_adena_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Miner Bolter, a member of the Gray Pillar Guild, lives at the Strip Mine. He asks you to bring him some things from the village. Visit Trader Shari's weapons shop, Trader Garita's store, Warehouse Chief Reed and Blacksmith Brunon and bring back the items that Miner Bolter is seeking.Redstone BeerNG", "npc": {"id": "5", "name": "Bolter", "additional": "Miner", "icon": "skill4416_dwarf"}, "item": {"id": "1551", "name": "Redstone Beer", "icon": "etc_potion_scarlet_i00", "grade": "NG"}}, {"number": 2, "title": "Errand to the Village", "description": "Miner Bolter, a member of the Gray Pillar Guild, lives at the Strip Mine. He asks you to bring him some things from the village. Visit Trader Shari's weapons shop, Trader Garita's store, Warehouse Chief Reed and Blacksmith Brunon and bring back the items that Miner Bolter is seeking.Redstone BeerNG", "npc": null, "item": {"id": "1551", "name": "Redstone Beer", "icon": "etc_potion_scarlet_i00", "grade": "NG"}}, {"number": 3, "title": "Return to Miner Bolter.", "description": "You have all of the items Bolter requested. Take them to him.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/5-miners-favor/lu4
6	Step into the Future	Recognizing your youthful vigor and ambition, Sir Collin Windawood agrees to sponsor your trip to Giran. Visit Gatekeeper Roxxy and tell her what Sir Windawood said.	30006	Roxxy	Gatekeeper	skill4416_human	[{"top": 3067.9435028249, "left": 1210.813559322}]	3	10	[{"name": "Mark of TravelerNG", "icon": "etc_crest_yellow_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "You've decided to experience all the adventure this world has to offer, but you can't afford it. Visit Magister Baulro and ask for help.", "npc": {"id": "6", "name": "Roxxy", "additional": "Gatekeeper", "icon": "skill4416_human"}, "item": {"id": "7571", "name": "Baulro's Letter", "icon": "etc_letter_white_i00", "grade": "NG"}}, {"number": 2, "title": "Helping Hand", "description": "You've decided to experience all the adventure this world has to offer, but you can't afford it. Visit Magister Baulro and ask for help.", "npc": null, "item": {"id": "7571", "name": "Baulro's Letter", "icon": "etc_letter_white_i00", "grade": "NG"}}, {"number": 3, "title": "Permission of Archon", "description": "Magister Baulro says that he'll help you! He gives you a letter to take to Sir Collin Windawood in the Obelisk of Victory. He says Sir Collin may do you a favor if you ask him nicely.Baulro's LetterNG", "npc": null, "item": {"id": "7571", "name": "Baulro's Letter", "icon": "etc_letter_white_i00", "grade": "NG"}}, {"number": 4, "title": "On to Giran!", "description": "Recognizing your youthful vigor and ambition, Sir Collin Windawood agrees to sponsor your trip to Giran. Visit Gatekeeper Roxxy and tell her what Sir Windawood said.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/6-step-into-the-future/lu4
7	A Trip Begins	After securing a promise to return, Hierarch Asterios tells you to visit Gatekeeper Mirabel when you've finished preparing for the trip.	30146	Mirabel	Gatekeeper	skill4416_elf	[{"top": 1977.0225988701, "left": 1951.1186440678}]	3	10	[{"name": "Mark of TravelerNG", "icon": "etc_crest_yellow_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "At one time, Trader Ariel was an Adventurer who traveled many places and had many exciting experiences before coming back to Elven Forest. Ask for her advice.", "npc": {"id": "7", "name": "Mirabel", "additional": "Gatekeeper", "icon": "skill4416_elf"}, "item": {"id": "7572", "name": "Ariel's Recommendation", "icon": "etc_letter_white_i00", "grade": "NG"}}, {"number": 2, "title": "A Predecessor's Advice", "description": "At one time, Trader Ariel was an Adventurer who traveled many places and had many exciting experiences before coming back to Elven Forest. Ask for her advice.", "npc": null, "item": {"id": "7572", "name": "Ariel's Recommendation", "icon": "etc_letter_white_i00", "grade": "NG"}}, {"number": 3, "title": "Help From the Hierarch", "description": "It's said that Hierarch Asterios sponsors travelers because he wants young Elves to have all the experiences the outside world can offer. Visit Hierarch Asterios.Ariel's RecommendationNG", "npc": null, "item": {"id": "7572", "name": "Ariel's Recommendation", "icon": "etc_letter_white_i00", "grade": "NG"}}, {"number": 4, "title": "Prepare for a Trip", "description": "After securing a promise to return, Hierarch Asterios tells you to visit Gatekeeper Mirabel when you've finished preparing for the trip.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/7-a-trip-begins/lu4
8	An Adventure Begins	Magister Harne has seen the two sisters, Roselyn and Jasmine, fighting for a long time. She asks you to return to Jasmine and deliver her message.	30134	Jasmine	Gatekeeper	skill4416_darkelf	[{"top": 1773.6271186441, "left": 1741.011299435}]	3	10	[{"name": "Mark of TravelerNG", "icon": "etc_crest_yellow_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Gatekeeper Jasmine ignores your request and says that you're as reckless as Roselyn was when she was young. Visit Sentry Roselyn to find a solution.", "npc": {"id": "8", "name": "Jasmine", "additional": "Gatekeeper", "icon": "skill4416_darkelf"}, "item": {"id": "7573", "name": "Roselyn's Note", "icon": "etc_paper_black_i00", "grade": "NG"}}, {"number": 2, "title": "Secret Revenge", "description": "Gatekeeper Jasmine ignores your request and says that you're as reckless as Roselyn was when she was young. Visit Sentry Roselyn to find a solution.", "npc": null, "item": {"id": "7573", "name": "Roselyn's Note", "icon": "etc_paper_black_i00", "grade": "NG"}}, {"number": 3, "title": "Roselyn's Revenge", "description": "Roselyn is angered by Jasmine's indelicate remark. She asks you to deliver a note containing an important story about Jasmine to Magister Harne.Roselyn's NoteNG", "npc": null, "item": {"id": "7573", "name": "Roselyn's Note", "icon": "etc_paper_black_i00", "grade": "NG"}}, {"number": 4, "title": "Jasmine's Judgment", "description": "Magister Harne has seen the two sisters, Roselyn and Jasmine, fighting for a long time. She asks you to return to Jasmine and deliver her message.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/8-an-adventure-begins/lu4
9	Into the City of Humans	Seer Tanapi tells you to go to the city of Humans, Giran, to find answers to the questions asked by Orcs. Visit Gatekeeper Tamil.	30583	Petukai	Centurion	skill4416_orc	[{"top": 1042.813559322, "left": 1427.6327683616}]	3	10	[{"name": "Mark of TravelerNG", "icon": "etc_crest_yellow_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Centurion Petukai, in service to Flame Lord Kakai, questions the meaning of strength. He asks you to visit Seer Tanapi and get the answer.", "npc": {"id": "9", "name": "Petukai", "additional": "Centurion", "icon": "skill4416_orc"}, "item": null}, {"number": 2, "title": "Centurion's Inquisition", "description": "Centurion Petukai, in service to Flame Lord Kakai, questions the meaning of strength. He asks you to visit Seer Tanapi and get the answer.", "npc": null, "item": null}, {"number": 3, "title": "To the City of Humans", "description": "Seer Tanapi tells you to go to the city of Humans, Giran, to find answers to the questions asked by Orcs. Visit Gatekeeper Tamil.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/9-into-the-city-of-humans/lu4
10	Into the World	You've got the permission from Warehouse Chief Reed. Return to Silver Scale's Balanki and start your trip.	30533	Balanki	Silver Scale's	skill4416_dwarf	[{"top": 676.87570621469, "left": 2341.4576271186}]	3	10	[{"name": "Mark of TravelerNG", "icon": "etc_crest_yellow_i00", "grade": "NG"}]	[{"number": 1, "title": "Start NPC", "description": "Silver Scale's Balanki permits a trip if the traveler passes his test. Go see Warehouse Chief Reed.", "npc": {"id": "10", "name": "Balanki", "additional": "Silver Scale's", "icon": "skill4416_dwarf"}, "item": {"id": "7574", "name": "Very Expensive Necklace", "icon": "accessary_necklace_of_devotion_i00", "grade": "NG"}}, {"number": 2, "title": "Balanki's Test", "description": "Silver Scale's Balanki permits a trip if the traveler passes his test. Go see Warehouse Chief Reed.", "npc": null, "item": {"id": "7574", "name": "Very Expensive Necklace", "icon": "accessary_necklace_of_devotion_i00", "grade": "NG"}}, {"number": 3, "title": "Mining Rights at the Mithril Mines", "description": "Warehouse Chief Reed asks you to take a necklace he made to Priest of the Earth Gerald. While you are meeting with the priest, find out to whom the mining rights will be granted.Very Expensive NecklaceNG", "npc": null, "item": {"id": "7574", "name": "Very Expensive Necklace", "icon": "accessary_necklace_of_devotion_i00", "grade": "NG"}}, {"number": 4, "title": "Failure to Obtain the Information", "description": "Although you gave him the gift, Gerald did not offer you any information in detail. Return to Warehouse Chief Reed and tell him what you found out.", "npc": null, "item": null}, {"number": 5, "title": "Bon Voyage!", "description": "You've got the permission from Warehouse Chief Reed. Return to Silver Scale's Balanki and start your trip.", "npc": null, "item": null}]	lu4	https://wiki.mw2.wiki/quest/10-into-the-world/lu4
