icon	name	id	grade	link
etc_recipe_white_i00	Recipe: Wooden Arrow	1666	None	https://wiki.mw2.wiki/item/1666-recipe-wooden-arrow/lu4
etc_recipe_white_i00	Recipe: Broad Sword	1786	None	https://wiki.mw2.wiki/item/1786-recipe-broad-sword/lu4
etc_recipe_white_i00	Recipe: Willow Staff	1787	None	https://wiki.mw2.wiki/item/1787-recipe-willow-staff/lu4
etc_recipe_white_i00	Recipe: Bow	1788	None	https://wiki.mw2.wiki/item/1788-recipe-bow/lu4
etc_recipe_white_i00	Recipe: Cedar Staff	1789	None	https://wiki.mw2.wiki/item/1789-recipe-cedar-staff/lu4
etc_recipe_white_i00	Recipe: Dirk	1790	None	https://wiki.mw2.wiki/item/1790-recipe-dirk/lu4
etc_recipe_white_i00	Recipe: Brandish	1791	None	https://wiki.mw2.wiki/item/1791-recipe-brandish/lu4
etc_recipe_white_i00	Recipe: Short Spear	1792	None	https://wiki.mw2.wiki/item/1792-recipe-short-spear/lu4
etc_recipe_white_i00	Recipe: Sword of Reflection	1793	None	https://wiki.mw2.wiki/item/1793-recipe-sword-of-reflection/lu4
etc_recipe_white_i00	Recipe: Forest Bow	1794	None	https://wiki.mw2.wiki/item/1794-recipe-forest-bow/lu4
etc_recipe_white_i00	Recipe: Leather Shoes	1795	None	https://wiki.mw2.wiki/item/1795-recipe-leather-shoes/lu4
etc_recipe_white_i00	Recipe: Leather Tunic	1796	None	https://wiki.mw2.wiki/item/1796-recipe-leather-tunic/lu4
etc_recipe_white_i00	Recipe: Leather Stockings	1797	None	https://wiki.mw2.wiki/item/1797-recipe-leather-stockings/lu4
etc_recipe_white_i00	Recipe: Leather Helmet	1798	None	https://wiki.mw2.wiki/item/1798-recipe-leather-helmet/lu4
etc_recipe_white_i00	Recipe: Leather Gloves	1799	None	https://wiki.mw2.wiki/item/1799-recipe-leather-gloves/lu4
etc_recipe_white_i00	Recipe: Piece Bone Breastplate	1800	None	https://wiki.mw2.wiki/item/1800-recipe-piece-bone-breastplate/lu4
etc_recipe_white_i00	Recipe: Piece Bone Gaiters	1801	None	https://wiki.mw2.wiki/item/1801-recipe-piece-bone-gaiters/lu4
etc_recipe_white_i00	Recipe: Necklace of Anguish	1802	None	https://wiki.mw2.wiki/item/1802-recipe-necklace-of-anguish/lu4
etc_recipe_white_i00	Recipe: Necklace of Wisdom	1803	None	https://wiki.mw2.wiki/item/1803-recipe-necklace-of-wisdom/lu4
etc_recipe_blue_i00	Recipe: Soulshot (D-Grade)	1804	None	https://wiki.mw2.wiki/item/1804-recipe-soulshot-d-grade/lu4
etc_recipe_yellow_i00	Recipe: Soulshot (C-Grade)	1805	None	https://wiki.mw2.wiki/item/1805-recipe-soulshot-c-grade/lu4
etc_recipe_red_i00	Recipe: Soulshot (B-Grade)	1806	None	https://wiki.mw2.wiki/item/1806-recipe-soulshot-b-grade/lu4
etc_recipe_violet_i00	Recipe: Soulshot (A-Grade)	1807	None	https://wiki.mw2.wiki/item/1807-recipe-soulshot-a-grade/lu4
etc_recipe_black_i00	Recipe: Soulshot (S-Grade)	1808	None	https://wiki.mw2.wiki/item/1808-recipe-soulshot-s-grade/lu4
etc_recipe_white_i00	Recipe: Leather	1814	None	https://wiki.mw2.wiki/item/1814-recipe-leather/lu4
etc_recipe_white_i00	Recipe: Cord	1817	None	https://wiki.mw2.wiki/item/1817-recipe-cord/lu4
etc_recipe_blue_i00	Recipe: Oriharukon	1825	None	https://wiki.mw2.wiki/item/1825-recipe-oriharukon/lu4
etc_recipe_white_i00	Recipe: Braided Hemp	2135	None	https://wiki.mw2.wiki/item/2135-recipe-braided-hemp/lu4
etc_recipe_white_i00	Recipe: Cokes	2136	None	https://wiki.mw2.wiki/item/2136-recipe-cokes/lu4
etc_recipe_white_i00	Recipe: Steel	2137	None	https://wiki.mw2.wiki/item/2137-recipe-steel/lu4
etc_recipe_white_i00	Recipe: Coarse Bone Powder (100%)	2138	None	https://wiki.mw2.wiki/item/2138-recipe-coarse-bone-powder-100/lu4
etc_recipe_white_i00	Recipe: Steel Mold	2139	None	https://wiki.mw2.wiki/item/2139-recipe-steel-mold/lu4
etc_recipe_white_i00	Recipe: High-Grade Suede	2140	None	https://wiki.mw2.wiki/item/2140-recipe-high-grade-suede/lu4
etc_recipe_white_i00	Recipe: Silver Mold	2141	None	https://wiki.mw2.wiki/item/2141-recipe-silver-mold/lu4
etc_recipe_white_i00	Recipe: Varnish of Purity	2142	None	https://wiki.mw2.wiki/item/2142-recipe-varnish-of-purity/lu4
etc_recipe_white_i00	Recipe: Synthetic Cokes	2143	None	https://wiki.mw2.wiki/item/2143-recipe-synthetic-cokes/lu4
etc_recipe_white_i00	Recipe: Compound Braid	2144	None	https://wiki.mw2.wiki/item/2144-recipe-compound-braid/lu4
etc_recipe_blue_i00	Recipe: Mithril Alloy	2145	None	https://wiki.mw2.wiki/item/2145-recipe-mithril-alloy/lu4
etc_recipe_blue_i00	Recipe: Artisan's frame	2146	None	https://wiki.mw2.wiki/item/2146-recipe-artisans-frame/lu4
etc_recipe_blue_i00	Recipe: Blacksmith's frame	2147	None	https://wiki.mw2.wiki/item/2147-recipe-blacksmiths-frame/lu4
etc_recipe_blue_i00	Recipe: Crafted Leather	2148	None	https://wiki.mw2.wiki/item/2148-recipe-crafted-leather/lu4
etc_recipe_blue_i00	Recipe: Metallic Fiber	2149	None	https://wiki.mw2.wiki/item/2149-recipe-metallic-fiber/lu4
etc_recipe_white_i00	Recipe: Blue Diamond Necklace	2150	None	https://wiki.mw2.wiki/item/2150-recipe-blue-diamond-necklace/lu4
etc_recipe_blue_i00	Recipe: Necklace of Devotion	2151	None	https://wiki.mw2.wiki/item/2151-recipe-necklace-of-devotion/lu4
etc_recipe_blue_i00	Recipe: Enchanted Necklace	2152	None	https://wiki.mw2.wiki/item/2152-recipe-enchanted-necklace/lu4
etc_recipe_blue_i00	Recipe: Tiger's Eye Earring	2153	None	https://wiki.mw2.wiki/item/2153-recipe-tigers-eye-earring/lu4
etc_recipe_blue_i00	Recipe: Elven Earring	2154	None	https://wiki.mw2.wiki/item/2154-recipe-elven-earring/lu4
etc_recipe_blue_i00	Recipe: Elven Ring	2155	None	https://wiki.mw2.wiki/item/2155-recipe-elven-ring/lu4
etc_recipe_blue_i00	Recipe: Elven Necklace	2156	None	https://wiki.mw2.wiki/item/2156-recipe-elven-necklace/lu4
etc_recipe_blue_i00	Recipe: Omen Beast's Eye Earring	2157	None	https://wiki.mw2.wiki/item/2157-recipe-omen-beasts-eye-earring/lu4
etc_recipe_blue_i00	Recipe: Mithril Ring	2158	None	https://wiki.mw2.wiki/item/2158-recipe-mithril-ring/lu4
etc_recipe_blue_i00	Recipe: Necklace of Darkness	2159	None	https://wiki.mw2.wiki/item/2159-recipe-necklace-of-darkness/lu4
etc_recipe_yellow_i00	Recipe: Moonstone Earring	2160	None	https://wiki.mw2.wiki/item/2160-recipe-moonstone-earring/lu4
etc_recipe_yellow_i00	Recipe: Aquastone Ring	2161	None	https://wiki.mw2.wiki/item/2161-recipe-aquastone-ring/lu4
etc_recipe_yellow_i00	Recipe: Aquastone Necklace	2162	None	https://wiki.mw2.wiki/item/2162-recipe-aquastone-necklace/lu4
etc_recipe_yellow_i00	Recipe: Earring of Protection	2163	None	https://wiki.mw2.wiki/item/2163-recipe-earring-of-protection/lu4
etc_recipe_yellow_i00	Recipe: Ring of Protection	2164	None	https://wiki.mw2.wiki/item/2164-recipe-ring-of-protection/lu4
