skill_id	skill_name	skill_icon	skill_level	skill_description	skill_link	chronicle	type	uses	cooldown_time	can_it_be_used_at_the_olympiad	attribute	trait	range_min	range_max	available_for	duration
1	Triple Slash	skill0001	1	Attacks an enemy with 517 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/1/lu4	lu4	Active (attack)	42	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 40}]	
1	Triple Slash	skill0001	2	Attacks an enemy with 549 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/2/lu4	lu4	Active (attack)	43	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 41}]	
1	Triple Slash	skill0001	3	Attacks an enemy with 583 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/3/lu4	lu4	Active (attack)	45	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 42}]	
1	Triple Slash	skill0001	4	Attacks an enemy with 619 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/4/lu4	lu4	Active (attack)	45	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 43}]	
1	Triple Slash	skill0001	5	Attacks an enemy with 656 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/5/lu4	lu4	Active (attack)	46	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 44}]	
1	Triple Slash	skill0001	6	Attacks an enemy with 694 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/6/lu4	lu4	Active (attack)	47	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 45}]	
1	Triple Slash	skill0001	7	Attacks an enemy with 735 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/7/lu4	lu4	Active (attack)	49	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 46}]	
1	Triple Slash	skill0001	8	Attacks an enemy with 777 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/8/lu4	lu4	Active (attack)	50	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 47}]	
1	Triple Slash	skill0001	9	Attacks an enemy with 820 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/9/lu4	lu4	Active (attack)	52	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 48}]	
1	Triple Slash	skill0001	10	Attacks an enemy with 865 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/10/lu4	lu4	Active (attack)	53	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 49}]	
1	Triple Slash	skill0001	11	Attacks an enemy with 912 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/11/lu4	lu4	Active (attack)	55	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 50}]	
1	Triple Slash	skill0001	12	Attacks an enemy with 960 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/12/lu4	lu4	Active (attack)	56	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 51}]	
1	Triple Slash	skill0001	13	Attacks an enemy with 1010 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/13/lu4	lu4	Active (attack)	58	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 52}]	
1	Triple Slash	skill0001	14	Attacks an enemy with 1062 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/14/lu4	lu4	Active (attack)	58	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 53}]	
1	Triple Slash	skill0001	15	Attacks an enemy with 1115 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/15/lu4	lu4	Active (attack)	59	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 54}]	
1	Triple Slash	skill0001	16	Attacks an enemy with 1169 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/16/lu4	lu4	Active (attack)	61	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 55}]	
1	Triple Slash	skill0001	17	Attacks an enemy with 1225 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/17/lu4	lu4	Active (attack)	62	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 56}]	
1	Triple Slash	skill0001	18	Attacks an enemy with 1283 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/18/lu4	lu4	Active (attack)	64	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 57}]	
1	Triple Slash	skill0001	19	Attacks an enemy with 1342 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/19/lu4	lu4	Active (attack)	65	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 58}]	
1	Triple Slash	skill0001	20	Attacks an enemy with 1402 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/20/lu4	lu4	Active (attack)	67	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 59}]	
1	Triple Slash	skill0001	21	Attacks an enemy with 1464 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/21/lu4	lu4	Active (attack)	68	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 59}]	
1	Triple Slash	skill0001	22	Attacks an enemy with 1527 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/22/lu4	lu4	Active (attack)	70	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 60}]	
1	Triple Slash	skill0001	23	Attacks an enemy with 1591 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/23/lu4	lu4	Active (attack)	71	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Gladiator', 'level': 60}]	
1	Triple Slash	skill0001	24	Attacks an enemy with 1656 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/24/lu4	lu4	Active (attack)	71	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	25	Attacks an enemy with 1722 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/25/lu4	lu4	Active (attack)	73	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	26	Attacks an enemy with 1789 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/26/lu4	lu4	Active (attack)	74	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	27	Attacks an enemy with 1857 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/27/lu4	lu4	Active (attack)	75	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	28	Attacks an enemy with 1926 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/28/lu4	lu4	Active (attack)	77	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	29	Attacks an enemy with 1995 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/29/lu4	lu4	Active (attack)	78	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	30	Attacks an enemy with 2065 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/30/lu4	lu4	Active (attack)	79	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	31	Attacks an enemy with 2135 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/31/lu4	lu4	Active (attack)	80	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	32	Attacks an enemy with 2206 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/32/lu4	lu4	Active (attack)	82	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	33	Attacks an enemy with 2277 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/33/lu4	lu4	Active (attack)	83	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	34	Attacks an enemy with 2347 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/34/lu4	lu4	Active (attack)	84	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	35	Attacks an enemy with 2417 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/35/lu4	lu4	Active (attack)	85	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	36	Attacks an enemy with 2488 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/36/lu4	lu4	Active (attack)	86	3.0	True	No Attribute	none	70.0	400.0		
1	Triple Slash	skill0001	37	Attacks an enemy with 2557 Power added to P. Atk. Over-hit and Critical hit are possible. Ignores Shield Defence.	https://mw2.wiki/skill/1-triple-slash/37/lu4	lu4	Active (attack)	86	3.0	True	No Attribute	none	70.0	400.0		
2	Confusion	skill0002	1	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/1/lu4	lu4	Active (attack)	12	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Palus Knight', 'level': 24}, {'class': 'Assassin', 'level': 24}]	
2	Confusion	skill0002	2	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/2/lu4	lu4	Active (attack)	13	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Palus Knight', 'level': 28}, {'class': 'Assassin', 'level': 28}]	
2	Confusion	skill0002	3	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/3/lu4	lu4	Active (attack)	14	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Palus Knight', 'level': 32}, {'class': 'Assassin', 'level': 32}]	
2	Confusion	skill0002	4	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/4/lu4	lu4	Active (attack)	17	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Palus Knight', 'level': 36}, {'class': 'Assassin', 'level': 36}]	
2	Confusion	skill0002	5	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/5/lu4	lu4	Active (attack)	18	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Shillien Knight', 'level': 40}, {'class': 'Bladedancer', 'level': 40}, {'class': 'Abyss Walker', 'level': 40}, {'class': 'Phantom Ranger', 'level': 40}]	
2	Confusion	skill0002	6	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/6/lu4	lu4	Active (attack)	19	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Shillien Knight', 'level': 43}, {'class': 'Bladedancer', 'level': 43}, {'class': 'Abyss Walker', 'level': 43}, {'class': 'Phantom Ranger', 'level': 43}]	
2	Confusion	skill0002	7	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/7/lu4	lu4	Active (attack)	22	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Shillien Knight', 'level': 46}, {'class': 'Bladedancer', 'level': 46}, {'class': 'Abyss Walker', 'level': 46}, {'class': 'Phantom Ranger', 'level': 46}]	
2	Confusion	skill0002	8	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/8/lu4	lu4	Active (attack)	23	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Shillien Knight', 'level': 49}, {'class': 'Bladedancer', 'level': 49}, {'class': 'Abyss Walker', 'level': 49}, {'class': 'Phantom Ranger', 'level': 49}]	
2	Confusion	skill0002	9	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/9/lu4	lu4	Active (attack)	24	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Shillien Knight', 'level': 52}, {'class': 'Bladedancer', 'level': 52}, {'class': 'Abyss Walker', 'level': 52}, {'class': 'Phantom Ranger', 'level': 52}]	
2	Confusion	skill0002	10	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/10/lu4	lu4	Active (attack)	25	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Shillien Knight', 'level': 55}, {'class': 'Bladedancer', 'level': 55}, {'class': 'Abyss Walker', 'level': 55}, {'class': 'Phantom Ranger', 'level': 55}]	
2	Confusion	skill0002	11	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/11/lu4	lu4	Active (attack)	28	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Shillien Knight', 'level': 58}, {'class': 'Bladedancer', 'level': 58}, {'class': 'Abyss Walker', 'level': 58}, {'class': 'Phantom Ranger', 'level': 58}]	
2	Confusion	skill0002	12	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/12/lu4	lu4	Active (attack)	28	5.0	True	No Attribute	derangement	600.0	1100.0	[{'class': 'Shillien Knight', 'level': 60}, {'class': 'Bladedancer', 'level': 60}, {'class': 'Abyss Walker', 'level': 60}, {'class': 'Phantom Ranger', 'level': 60}]	
2	Confusion	skill0002	13	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/13/lu4	lu4	Active (attack)	29	5.0	True	No Attribute	derangement	600.0	1100.0		
2	Confusion	skill0002	14	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/14/lu4	lu4	Active (attack)	30	5.0	True	No Attribute	derangement	600.0	1100.0		
2	Confusion	skill0002	15	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/15/lu4	lu4	Active (attack)	32	5.0	True	No Attribute	derangement	600.0	1100.0		
2	Confusion	skill0002	16	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/16/lu4	lu4	Active (attack)	33	5.0	True	No Attribute	derangement	600.0	1100.0		
2	Confusion	skill0002	17	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/17/lu4	lu4	Active (attack)	33	5.0	True	No Attribute	derangement	600.0	1100.0		
2	Confusion	skill0002	18	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/18/lu4	lu4	Active (attack)	34	5.0	True	No Attribute	derangement	600.0	1100.0		
2	Confusion	skill0002	19	Throws an enemy into confusion, changing their target of attack.	https://mw2.wiki/skill/2-confusion/19/lu4	lu4	Active (attack)	35	5.0	True	No Attribute	derangement	600.0	1100.0		
3	Power Strike	skill0003	1	Delivers a powerful blow that strikes the target with 30 Power added to P. Atk. Over-hit is possible.	https://mw2.wiki/skill/3-power-strike/1/lu4	lu4	Active (attack)	9	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Fighter', 'level': 3}, {'class': 'Elven Fighter', 'level': 3}, {'class': 'Dark Fighter', 'level': 3}, {'class': 'Orc Fighter', 'level': 3}, {'class': 'Dwarven Fighter', 'level': 3}]	
3	Power Strike	skill0003	2	Delivers a powerful blow that strikes the target with 32 Power added to P. Atk. Over-hit is possible.	https://mw2.wiki/skill/3-power-strike/2/lu4	lu4	Active (attack)	9	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Fighter', 'level': 5}, {'class': 'Elven Fighter', 'level': 5}, {'class': 'Dark Fighter', 'level': 5}, {'class': 'Orc Fighter', 'level': 5}, {'class': 'Dwarven Fighter', 'level': 5}]	
3	Power Strike	skill0003	3	Delivers a powerful blow that strikes the target with 35 Power added to P. Atk. Over-hit is possible.	https://mw2.wiki/skill/3-power-strike/3/lu4	lu4	Active (attack)	10	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Fighter', 'level': 7}, {'class': 'Elven Fighter', 'level': 7}, {'class': 'Dark Fighter', 'level': 7}, {'class': 'Orc Fighter', 'level': 7}, {'class': 'Dwarven Fighter', 'level': 7}]	
3	Power Strike	skill0003	4	Delivers a powerful blow that strikes the target with 46 Power added to P. Atk. Over-hit is possible.	https://mw2.wiki/skill/3-power-strike/4/lu4	lu4	Active (attack)	11	3.0	True	No Attribute	none	70.0	400.0	[{'class': 'Fighter', 'level': 9}, {'class': 'Elven Fighter', 'level': 9}, {'class': 'Dark Fighter', 'level': 9}, {'class': 'Orc Fighter', 'level': 9}, {'class': 'Dwarven Fighter', 'level': 9}]	
